Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Warmth enhancement of itch via TRPV4,NIAMS,8509420,1K99AR063228-01A1,1,K99,AR,63228,1,A1,,10503505,"AKIYAMA, TASUKU ",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS, ,2013,87885,
CC Chemokine-Mediated Differential Immunoregulation by Human Eosinophils,NHLBI,8764314,1K08HL116429-01A1,1,K08,HL,116429,1,A1,,9412153,"AKUTHOTA, PRAVEEN ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2014,129870,
DEFINING DYNORPHIN-CRF CIRCUITS IN STRESS AND NICOTINE BEHAVIORS,NIDA,8805610,1K99DA038725-01,1,K99,DA,38725,1,,,11232592,"AL-HASANI, REAM ",Not Applicable,WASHINGTON UNIVERSITY, ,2015,140122,
Social Networks of Youth who Misuse Prescription Opioids and Risk for HIV/HCV,NIDA,8731467,1K01DA036452-01A1,1,K01,DA,36452,1,A1,,10378779,"AL-TAYYIB, ALIA ",Not Applicable,DENVER HEALTH AND HOSPITAL AUTHORITY, ,2014,151618,
Identifying Novel Behavioral Targets for Improving Sleep: A Self-Regulation Model,NHLBI,8804665,1K23HL125748-01,1,K23,HL,125748,1,,,8629704,"ALCANTARA, CARMELA ",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2015,159300,
Bacterial Attachment under Mechanical Perturbations,NIAID,8482719,1K99AI106072-01,1,K99,AI,106072,1,,,9690627,"ALEGRE-CEBOLLADA, JORGE ",Not Applicable,COLUMBIA UNIV NEW YORK MORNINGSIDE, ,2013,107978,
Mechanisms of Developmental Programing of beta-cell Susceptibility to Glucolipotoxicity,NIDDK,8804376,1K01DK103823-01,1,K01,DK,103823,1,,,8821802,"ALEJANDRO, EMILYN ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2014,133920,
Integrin-Triggered Signaling and Macrophage Mode Switching in Atherosclerosis,NHLBI,8581225,1K08HL116600-01A1,1,K08,HL,116600,1,A1,,7797830,"ALENGHAT, FRANCIS JOSEPH",Not Applicable,UNIVERSITY OF CHICAGO, ,2013,120458,
Structural investigations of native and mutant human green cone pigment,NEI,8805694,1K99EY025007-01,1,K99,EY,25007,1,,,9546493,"ALEXANDER, NATHAN ",Not Applicable,CASE WESTERN RESERVE UNIVERSITY, ,2015,94133,
EPITHELIAL IL-33 IN THE PATHOGENESIS OF CHRONIC AIRWAY DISEASE,NHLBI,8700697,1K08HL121168-01A1,1,K08,HL,121168,1,A1,,10786286,"ALEXANDER-BRETT, JENNIFER ",Not Applicable,WASHINGTON UNIVERSITY, ,2014,114196,
Biological Underpinnings of Maternal Attachment in High Risk Populations,NINR,8948639,1K23NR015810-01,1,K23,NR,15810,1,,,8892557,"ALHUSEN, JEANNE L",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2015,5450,
Calicum; MARCKS; and PIP2 regulation of ENaC,NIDDK,8700958,1K01DK099617-01A1,1,K01,DK,99617,1,A1,,9037485,"ALLI, ABDEL AYUBE",Not Applicable,EMORY UNIVERSITY, ,2014,133656,
Targeting defective DNA repair for the prevention of BRCA1-associated cancers,NCI,8618122,1K22CA181550-01,1,K22,CA,181550,1,,,8892123,"ALLI, ELIZABETH ",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2015,162000,
Infectious Diseases;Technology and Mortality Convergence,NICHD,8949391,1K01HD084709-01,1,K01,HD,84709,1,,,10908346,"ALSAN, MARCELLA MOUSAVI",Not Applicable,STANFORD UNIVERSITY, ,2015,132787,
Safety and Effectiveness of Metformin Therapy in Patients with Type 2 Diabetes an,NIDDK,8677514,1K08DK101602-01,1,K08,DK,101602,1,,,10333459,"ALVAREZ, CARLOS A",Not Applicable,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER, ,2014,131040,
Integration of Nutritional Metabolomics with Bioenergetics in Cystic Fibrosis,NIDDK,8764070,1K01DK102851-01,1,K01,DK,102851,1,,,9762368,"ALVAREZ, JESSICA ALEJANDRA",Not Applicable,EMORY UNIVERSITY, ,2014,107266,
Optimizing measures of subjective and objective decline in preclinical AD,NIA,8699879,1K23AG044431-01A1,1,K23,AG,44431,1,A1,,10864920,"AMARIGLIO, REBECCA E",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2014,136081,
UTMB Clinical and Translational Science Award,NCATS,9085705,1KL2TR001441-01,1,KL2,TR,1441,1,,,1896583,"AMEREDES, BILL T",Not Applicable,UNIVERSITY OF TEXAS MED BR GALVESTON, ,2015,388145,
Hedgehog Pathway Activity and Targeting in KCOT,NIDCR,8821799,1K99DE023826-01A1,1,K99,DE,23826,1,A1,,10687948,"AMM, HOPE ",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2015,123378,
Retinoic Acid in Male Infertility,NICHD,8803521,1K24HD082231-01,1,K24,HD,82231,1,,,7601697,"AMORY, JOHN K.",Not Applicable,UNIVERSITY OF WASHINGTON, ,2015,127508,
Stress-induced drinking in Returning Soldiers: Genetic and Epigenetic Mechanisms,NIAAA,8752520,1K02AA023239-01,1,K02,AA,23239,1,,,8647069,"AMSTADTER, ANANDA B",Not Applicable,VIRGINIA COMMONWEALTH UNIVERSITY, ,2014,128596,
Medullary Circuitry Regulating Slow-Wave-Sleep,NIMH,8678157,1K99MH103399-01,1,K99,MH,103399,1,,,11212694,"ANACLET, CHRISTELLE ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2014,83371,
Epidemiology and management of chronic kidney disease in South Asians,NIDDK,8679738,1K23DK101826-01,1,K23,DK,101826,1,,,9713572,"ANAND, SHUCHI ",Not Applicable,STANFORD UNIVERSITY, ,2014,178867,
Neuromolecular Drivers of Impulsivity in Addictive Disorders,NIDA,8443304,1K99DA033374-01A1,1,K99,DA,33374,1,A1,,8614202,"ANASTASIO, NOELLE C",Not Applicable,UNIVERSITY OF TEXAS MED BR GALVESTON, ,2013,142775,
Improving healthcare quality with user-centric patient portals,AHRQ,8352831,1K01HS021531-01,1,K01,HS,21531,1,,,9569355,"ANCKER, JESSICA S.",Not Applicable,WEILL MEDICAL COLL OF CORNELL UNIV, ,2013,151549,
Role of Splicing Factors in Breast Cancer,NCI,8568241,1K99CA178206-01,1,K99,CA,178206,1,,,10300099,"ANCZUKOW-CAMARDA, OLGA ",Not Applicable,COLD SPRING HARBOR LABORATORY, ,2013,107088,
Role of Id1 in adiposity; energy balance and obesity associated liver tumorigenes,NCI,8350925,1K22CA168828-01,1,K22,CA,168828,1,,,10843162,"ANDE, SATYANARAYANA ",Not Applicable,AUGUSTA UNIVERSITY, ,2013,146259,
Study of zidovudine addition in HIV-associated neurocognitive disorders,NIMH,8542402,1K23MH095679-01A1,1,K23,MH,95679,1,A1,,8055790,"ANDERSON, ALBERT ",Not Applicable,EMORY UNIVERSITY, ,2013,179880,
Investigating Health Effects of Climate-Related Disasters in the United States,NIEHS,8485253,1K99ES022631-01,1,K99,ES,22631,1,,,11396140,"ANDERSON, BROOKE ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2013,74733,
Genetic Analyses of Lipids in Cerebral Hemorrhage and Small Vessel Disease,NINDS,8677019,1K23NS086873-01,1,K23,NS,86873,1,,,11454750,"ANDERSON, CHRISTOPHER DAVID",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2014,190648,
Age-related Changes in Thoracic Spine Biomechanics,NIA,8580757,1K99AG042458-01A1,1,K99,AG,42458,1,A1,,8838835,"ANDERSON, DENNIS ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2013,90000,
Development of a Real-time Inhalable Particle Spectrometer,NIOSH,8968078,1K01OH010763-01A1,1,K01,OH,10763,1,A1,,11523028,"ANDERSON, KIMBERLY ROSE",Not Applicable,COLORADO STATE UNIVERSITY, ,2015,108000,
Role of Gi/o-Protein Inhibition of CaV2.2 Channels in Anxiety Behavior,NIMH,8423866,1K99MH099405-01,1,K99,MH,99405,1,,,10312665,"ANDRADE, ARTURO ",Not Applicable,BROWN UNIVERSITY, ,2013,90000,
Thio-dependent Antioxidants: A Novel Drug Target for Toxoplasma Gondii,NIAID,8764539,1K08AI102989-01A1,1,K08,AI,102989,1,A1,,10982103,"ANDRADE, ROSA M.",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2014,188719,
Network Models for Evaluating HIV-associated MDR TB transmission and control,NIAID,8466080,1K01AI104411-01,1,K01,AI,104411,1,,,10518018,"ANDREWS, JASON RANDOLPH",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,50036,
OB/GYN Faculty Research Career Development Program,NICHD,8990653,2K12HD001258-16,2,K12,HD,1258,16,,,1896143,"ANDREWS, WILLIAM WALTON",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2015,86181,
Quantify treatment response in IDH1 mutant glioma patients with metabolic MRI,NCI,8568002,1K22CA178269-01,1,K22,CA,178269,1,,,8932532,"ANDRONESI, OVIDIU C",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,200552,
Career Development and Mentoring in Clinical/Translational Alcohol Research,NIAAA,8509462,2K05AA017435-06,2,K05,AA,17435,6,,,1869389,"ANTON, RAYMOND F",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2013,216225,
Development of Specialized Neural Networks for Face Recognition Expertise,NICHD,8767220,1K99HD078483-01A1,1,K99,HD,78483,1,A1,,11694866,"ANZURES, GIZELLE A",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2014,95571,
The mechanics and dynamics of RNP granules,NICHD,8889395,1K99HD081208-01A1,1,K99,HD,81208,1,A1,,10879468,"AOKI, SCOTT T",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2015,101199,
Synaptic Dissection of Cell Adhesion Molecule Function within Subicular Circuits,NIMH,8679649,1K99MH103531-01,1,K99,MH,103531,1,,,10568106,"AOTO, JASON ",Not Applicable,STANFORD UNIVERSITY, ,2014,92709,
Imaging epigenetics of Alzheimer's Disease,NIA,8761107,1K02AG048240-01,1,K02,AG,48240,1,,,8184486,"APOSTOLOVA, LIANA G",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2014,144720,
Exploring the role of AMP DEAMINASES in neuronal development and degeneration.,NINDS,8804832,1K99NS089859-01,1,K99,NS,89859,1,,,11837443,"AQUIZU LOPEZ, NAIARA ",Not Applicable,SCRIPPS RESEARCH INSTITUTE, ,2014,88943,
Older adult safety while receiving home health services after hospital discharge,AHRQ,8678190,1K08HS022916-01,1,K08,HS,22916,1,,,9285937,"ARBAJE, ALICIA INES",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2014,157086,
Endoplasmic Reticulum Mitochondrial membranes in Alzheimer's disease,NIA,8767203,1K01AG045335-01A1,1,K01,AG,45335,1,A1,,11562751,"AREA GOMEZ, ESTELA ",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2014,113379,
Use of the goat model to test human Brucella vaccines in Argentina,FIC,8814343,1K01TW009981-01,1,K01,TW,9981,1,,,11207201,"ARENAS, ANGELA ",Not Applicable,TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR, ,2014,134077,
Role of novel CNS subcircuits in cue-induced drug relapse,NIDA,8791563,1K99DA037271-01A1,1,K99,DA,37271,1,A1,,10810587,"ARGUELLO, AMY A",Not Applicable,WASHINGTON STATE UNIVERSITY, ,2014,97161,
Pathogenesis of polymicrobial catheter-associated urinary tract infection,NIDDK,8866936,1K99DK105205-01,1,K99,DK,105205,1,,,10527799,"ARMBRUSTER, CHELSIE ELIZABETH",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2015,91500,
Enhancing Clinical Guideline Development via Patient and Stakeholder Engagement,AHRQ,8951631,1K08HS024159-01,1,K08,HS,24159,1,,,11940698,"ARMSTRONG, MELISSA JO",Not Applicable,UNIVERSITY OF MARYLAND BALTIMORE, ,2015,29625,
Demographics Causes and Consequences of B Cell Repertoire Diversity,NIAID,8805341,1K08AI114958-01,1,K08,AI,114958,1,,,9758264,"ARNAOUT, RAMY ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2015,177444,
Genetics and Structure of Trabecular Myocardium in Development and Disease,NHLBI,8967119,1K08HL125945-01A1,1,K08,HL,125945,1,A1,,10674706,"ARNAOUT, RIMA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2015,140332,
Autonomic: Angiotensin-(1-7) Interactions in Hypertension,NHLBI,8821988,1K99HL122507-01A1,1,K99,HL,122507,1,A1,,9373486,"ARNOLD, AMY CHRISTINE",Not Applicable,VANDERBILT UNIVERSITY, ,2015,124809,
New Serological Measures of Infectious Disease Transmission Intensity,NIAID,8947064,1K01AI119180-01,1,K01,AI,119180,1,,,10962852,"ARNOLD, BENJAMIN F",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY, ,2015,142069,
Optimal Decision Making in Aortic Valve Replacement,NHLBI,8635238,1K23HL116799-01A1,1,K23,HL,116799,1,A1,,11077210,"ARNOLD, SUZANNE VICTORIA",Not Applicable,SAINT LUKE'S HOSPITAL, ,2014,122946,
Mechanisms of spatial memory during navigation in virtual reality,NINDS,8951232,1K99NS093071-01,1,K99,NS,93071,1,,,10702223,"ARONOV, DMITRIY ",Not Applicable,PRINCETON UNIVERSITY, ,2015,93690,
Novel Informatics Approaches for Ascertainment of PAD Status and Adverse Outcomes,NHLBI,8891601,1K01HL124045-01A1,1,K01,HL,124045,1,A1,,8877341,"ARRUDA-OLSON, ADELAIDE MARIA MARTINS",Not Applicable,MAYO CLINIC ROCHESTER, ,2015,136485,
Intestinal inflammation and genotoxicity of the colonic-adherent microbiota,NIDDK,8805196,1K01DK103952-01,1,K01,DK,103952,1,,,8573220,"ARTHUR, JANELLE C",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2014,151681,
Mechanisms underlying word learning in children with ASD: Non-social learning and,NIDCD,8699984,1K01DC013306-01A1,1,K01,DC,13306,1,A1,,9297067,"ARUNACHALAM, SUDHA ",Not Applicable,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS), ,2014,171433,
Controlled Delivery and Release of Chemotherapy in Brain Tumors with FUS,NIBIB,8635744,1K99EB016971-01A1,1,K99,EB,16971,1,A1,,11339153,"ARVANITIS, KONSTANTINOS-COSTAS ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2014,83827,
Characterization of Epigenetic Targets in Prostate Cancer,NCI,8753640,1K99CA187664-01,1,K99,CA,187664,1,,,12001657,"ASANGANI, IRFAN AHMED",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2014,114829,
Repurposing cholinesterase inhibitors for smoking cessation,NIDA,8486843,1K23DA035295-01,1,K23,DA,35295,1,,,8950071,"ASHARE, REBECCA ",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2013,156488,
The role of macrophage migration inhibitory factor in autoimmune hepatitis,NIDDK,8822069,1K08DK099412-01A1,1,K08,DK,99412,1,A1,,10905722,"ASSIS, DAVID ",Not Applicable,YALE UNIVERSITY, ,2015,152874,
Behavioral Economic Analysis of Demand for Marijuana,NIDA,8868292,1K01DA039311-01,1,K01,DA,39311,1,,,10150585,"ASTON, ELIZABETH ",Not Applicable,BROWN UNIVERSITY, ,2015,180481,
Molecular Imaging of Inflammation in Amyotrophic Lateral Sclerosis (ALS),NINDS,8766942,1K23NS083715-01A1,1,K23,NS,83715,1,A1,,9860777,"ATASSI, NAZEM ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2014,193536,
VPAC2 receptor function and its link to schizophrenia.,NIMH,8869868,1K01MH106833-01,1,K01,MH,106833,1,,,11259519,"ATKIN, TALIA ALLISON",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2015,167724,
Using Technology to Scale Up the Evaluation of Motivational Interviewing,NIAAA,8863672,1K02AA023814-01,1,K02,AA,23814,1,,,8908096,"ATKINS, DAVID CHARLES",Not Applicable,UNIVERSITY OF WASHINGTON, ,2015,142637,
IBDPROMISE: A Web-based Patient-centric Model to Improve Quality and Outcomes,NIDDK,8635100,1K23DK097451-01A1,1,K23,DK,97451,1,A1,,9309405,"ATREJA, ASHISH ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2013,177000,
Targeting of Aberrant Signaling in Patient-Derived Colorectal Cancer Models,NCI,8487191,1K08CA175153-01,1,K08,CA,175153,1,,,10803621,"ATREYA, CHLOE E.",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2013,173340,
The Role of microRNA-21; 27 and 29 in Tooth Movement,NIDCR,8967993,1K08DE024531-01A1,1,K08,DE,24531,1,A1,,11641621,"ATSAWASUWAN, PHIMON ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2015,139477,
aPKC function in Hedgehog signaling and basal cell carcinoma,NCI,8633279,1K99CA176847-01A1,1,K99,CA,176847,1,A1,,9714711,"ATWOOD, SCOTT ",Not Applicable,STANFORD UNIVERSITY, ,2014,118100,
Inhibition of ZAP-70 to selectively attenuate autoimmune disease-inducing T cells,NIAMS,8617722,1K01AR065481-01,1,K01,AR,65481,1,,,9540911,"AU-YEUNG, BYRON BENTON",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2014,128385,
Traditional Healers as Adherence Partners for PLHIV in Rural Mozambique,NIMH,8919526,1K01MH107255-01,1,K01,MH,107255,1,,,10573358,"AUDET, CAROLYN ",Not Applicable,VANDERBILT UNIVERSITY, ,2015,166120,
Examination of Reward Processing in the Treatment of Adolescent Major Depression,NIMH,8509096,1K23MH097786-01A1,1,K23,MH,97786,1,A1,,10630912,"AUERBACH, RANDY PATRICK",Not Applicable,MCLEAN HOSPITAL, ,2013,171562,
Obstructive Sleep Apnea and Glycemic Variability in Type 2 Diabetes,NHLBI,8634858,1K23HL118414-01A1,1,K23,HL,118414,1,A1,,8710484,"AURORA, RASHMI NISHA",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2014,132435,
The Impact of Folate; Obesity and Genetics on Maternal Depression,NIMH,8822004,1K01MH103444-01A1,1,K01,MH,103444,1,A1,,9643887,"AVALOS, LYNDSAY AMMON",Not Applicable,KAISER FOUNDATION RESEARCH INSTITUTE, ,2014,204993,
Imaging genomics bases of pediatric executive functioning,NIEHS,8830050,1K01ES025432-01,1,K01,ES,25432,1,,,9369377,"AVANTS, BRIAN ",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2014,159628,
The Role of TDP-43 Phosphorylation in Protein Function and Neurodegeneration,NINDS,8487751,1K01NS082391-01,1,K01,NS,82391,1,,,10998137,"AYALA, YUNA ",Not Applicable,SAINT LOUIS UNIVERSITY, ,2013,205727,
Mentoring Research in the Physiology of Sleep Disordered Breathing,NHLBI,8581978,1K24HL109156-01A1,1,K24,HL,109156,1,A1,,6380783,"AYAPPA, INDU A",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2013,93311,
Stroke Counseling for Risk Reduction in Young Adult African Americans,NINR,8868716,1K01NR015494-01,1,K01,NR,15494,1,,,9043895,"AYCOCK, DAWN MAREE",Not Applicable,GEORGIA STATE UNIVERSITY, ,2015,92610,
Control of Skilled Forelimb Movements by Cerebellar Feedback Circuits,NINDS,8749318,1K99NS088193-01,1,K99,NS,88193,1,,,8229649,"AZIM, EIMAN ",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2014,90000,
Lipotoxic Effects of Maternal Diabetes and High Fat Diet on the Developing Heart,NICHD,8767585,1K08HD078504-01A1,1,K08,HD,78504,1,A1,,10398137,"BAACK, MICHELLE LEIGH",Not Applicable,SANFORD RESEARCH/USD, ,2014,119710,
Postsynaptic Calcium Sensors in Synaptic Plasticity,NINDS,8678612,1K99NS087086-01,1,K99,NS,87086,1,,,9815005,"BACAJ, TAULANT ",Not Applicable,STANFORD UNIVERSITY, ,2014,74554,
Involvement of myelin integrity in Alzheimer's disease pathogenesis,NIA,8634180,1K99AG044445-01A1,1,K99,AG,44445,1,A1,,10095513,"BACHSTETTER, ADAM D",Not Applicable,UNIVERSITY OF KENTUCKY, ,2014,89441,
Integrating Neurobiology and Neuroimaging into Research on Addiction and PTSD,NIDA,8868563,1K02DA039229-01,1,K02,DA,39229,1,,,6577745,"BACK, SUDIE E.",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2015,155636,
Quantitative MR Microscopy of Phenotypic Biomarkers in Alzheimer's Disease,NIA,8635842,1K01AG041211-01A1,1,K01,AG,41211,1,A1,,10202604,"BADEA, ALEXANDRA ",Not Applicable,DUKE UNIVERSITY, ,2014,128476,
