Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Telemedicine for PrEP throughout Mississippi (Tele-PrEP-MS),NIMH,9619175,1R34MH115744-01A1,1,R34,MH,115744,1,A1,,1897950,"BROWN, LARRY K ","MENA, LEANDRO ANTONIO",RHODE ISLAND HOSPITAL, ,2018,267762,
Improving Pediatric Lupus Nephritis Through Personalized Mycophenolate Mofetil Therapy,NIAMS,9443723,1R34AR071651-01A1,1,R34,AR,71651,1,A1,,7051878,"BRUNNER, HERMINE I ","VINKS, ALEXANDER A",CINCINNATI CHILDRENS HOSP MED CTR, ,2018,244860,
Social Work Training to Reduce Duration of Untreated Psychosis,NIMH,9316153,1R34MH110506-01A1,1,R34,MH,110506,1,A1,,1893403,"BUCHANAN, ROBERT W ","DEVYLDER, JORDAN ;SCHIFFMAN, JASON E",UNIVERSITY OF MARYLAND BALTIMORE, ,2017,275335,
Caring for caregivers with mind-body exercise,NCCIH,9599889,1R34AT010081-01,1,R34,AT,10081,1,,,15266813,"BUDHRANI-SHANI, PINKY  ","WAYNE, PETER MICHAEL",TEXAS WOMAN'S UNIVERSITY, ,2018,194496,
Targeting Relationship Domains in Community- Based Treatment of Binge-Eating Disorder and Bulimia Nervosa,NIMH,9583544,1R34MH113681-01A1,1,R34,MH,113681,1,A1,,1871332,"BULIK, CYNTHIA M ","BAUCOM, DONALD H",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2018,362984,
Collaborating to Implement Cross-System Interventions in Child Welfare and Substance Use,NIDA,9746378,1R34DA046913-01A1,1,R34,DA,46913,1,A1,,9156415,"BUNGER, ALICIA C",Not Applicable,OHIO STATE UNIVERSITY, ,2019,248000,
Withdrawal of Hydroxychloroquine in Elderly Lupus Patients: Planning Grant,NIAMS,9736151,1R34AR075283-01,1,R34,AR,75283,1,,,1877754,"BUYON, JILL P ","IZMIRLY, PETER ",NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2019,266753,
Web-based Addiction Treatment: Cultural Adaptation with American Indians,NIDA,9245112,1R34DA040831-01A1,1,R34,DA,40831,1,A1,,9232837,"CAMPBELL, AIMEE N ","RIECKMANN, TRACI R",NEW YORK STATE PSYCHIATRIC INSTITUTE, ,2017,251172,
Reducing Alcohol-related HIV/STI Risk for Women in Reproductive Health Clinics,NIAAA,8843243,1R34AA023158-01A1,1,R34,AA,23158,1,A1,,1891089,"CAREY, MICHAEL P",Not Applicable,MIRIAM HOSPITAL, ,2016,272865,
Addressing the opioid epidemic through community pharmacy engagement: a multi-state study,NIDA,9825219,1R34DA046598-01A1,1,R34,DA,46598,1,A1,,10383319,"CARPENTER, DELESHA MILLER",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2019,275931,
Adaptive intervention strategies to optimize PrEP clinical evaluation and uptake in stimulant-using men,NIDA,9700968,1R34DA046367-01A1,1,R34,DA,46367,1,A1,,9011522,"CARRICO, ADAM WAYNE ","GROV, CHRISTIAN ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2019,244499,
Leveraging Social Media to Identify and Connect Teens with Eating Disorders to a Mobile Guided Self-Help Mobile Intervention,NIMH,9719997,1R34MH119170-01,1,R34,MH,119170,1,,,8133499,"CAVAZOS-REHG, PATRICIA A ","WILFLEY, DENISE ELLA",WASHINGTON UNIVERSITY, ,2019,244552,
A brief motivational interviewing-based intervention to improve HIV pre-exposure prophylaxis uptake among men who have sex with men,NIDA,9269004,1R34DA042648-01A1,1,R34,DA,42648,1,A1,,10733084,"CHAN, PHILIP ANDREW ","MOITRA, ETHAN ",MIRIAM HOSPITAL, ,2017,237746,
Attention Training for Underserved Youth With Anxiety,NIMH,9228682,1R34MH109601-01A1,1,R34,MH,109601,1,A1,,8776628,"CHANG, SUSANNA W. ","CHAVIRA, DENISE A",UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2017,231000,
Randomized trials using point of care-guided manipulation of dialysate potassium; dialysate bicarbonate; and ultrafiltration rate to prevent hemodilaysis-associated arrythmia,NHLBI,9438040,1R34HL140477-01,1,R34,HL,140477,1,,,7939307,"CHARYTAN, DAVID M ","PUN, PATRICK H",BRIGHAM AND WOMEN'S HOSPITAL, ,2018,394485,
Optimizing treatment for E. faecalis infective endocarditis: ampicillin plus ceftriaxone versus ampicillin plus gentamicin,NIAID,9067056,1R34AI122958-01,1,R34,AI,122958,1,,,8459868,"CHU, VIVIAN H",Not Applicable,DUKE UNIVERSITY, ,2016,238500,
A Clinical Trial for Surgery of the Ulnar Nerve (SUN) at the Elbow,NIAMS,9025842,1R34AR068027-01A1,1,R34,AR,68027,1,A1,,6485111,"CHUNG, KEVIN C",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2016,341000,
Mobile Application to Improve Care Coordination among HIV Clinic and Substance Use Treatment Providers,NIDA,9199330,1R34DA041237-01A1,1,R34,DA,41237,1,A1,,11102224,"CLABORN, KASEY R",Not Applicable,RHODE ISLAND HOSPITAL, ,2016,197102,
A Pharmacokinetic and dose escalation study of low dose emetine in healthy volunteers,NIAID,9352548,1R34AI132003-01,1,R34,AI,132003,1,,,1873167,"CLEMENTS, JANICE E.",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2017,245188,
CareConekta: Mobile health for a mobile population,NIMH,9695599,1R34MH118028-01A1,1,R34,MH,118028,1,A1,,12190399,"CLOUSE, KATE ",Not Applicable,VANDERBILT UNIVERSITY, ,2019,266396,
Optimizing the Home Literacy Environment for Children with Clefts,NIDCR,9599966,1R34DE027067-01A1,1,R34,DE,27067,1,A1,,8879782,"COLLETT, BRENT RUSSELL",Not Applicable,SEATTLE CHILDREN'S HOSPITAL, ,2018,248485,
Reducing Duration of Untreated Psychosis through Early Detection in a Large Jail System,NIMH,9746957,1R34MH117766-01A1,1,R34,MH,117766,1,A1,,7110511,"COMPTON, MICHAEL T",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2019,331293,
Suicidal adults with alcohol or drug use problems: A new hospital-based treatment,NIAAA,9371871,1R34AA026016-01,1,R34,AA,26016,1,,,1902065,"CONNER, KENNETH R",Not Applicable,UNIVERSITY OF ROCHESTER, ,2017,197702,
An economic and relationship-strengthening intervention for HIV-affected couples who drink alcohol in Malawi,NIAAA,9846819,1R34AA027983-01,1,R34,AA,27983,1,,,10469905,"CONROY, AMY ANNE",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2019,211940,
Prospective Comparison of BioJoints versus Total and Unicompartmental Knee Arthroplasty,NIAMS,9816067,1R34AR074209-01A1,1,R34,AR,74209,1,A1,,6082516,"COOK, JAMES L ","STANNARD, JAMES P",UNIVERSITY OF MISSOURI-COLUMBIA, ,2019,272800,
Commensal Oral Microbiota as a Trigger of Oral Mucositis Severity,NIDCR,9034292,1R34DE025085-01A1,1,R34,DE,25085,1,A1,,9889601,"CORBY, PATRICIA M ","SANFILIPPO, NICHOLAS J.",NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2016,267027,
Optimizing a self-directed mobile copying skills training intervention for improving cardiorespiratory failture survivors' psychological distress: a pilot randomized clinical trial,NHLBI,9649819,1R34HL145387-01,1,R34,HL,145387,1,,,8165027,"COX, CHRISTOPHER ETHAN",Not Applicable,DUKE UNIVERSITY, ,2019,361688,
Advancing pre-exposure prophylaxis (PrEP) access in pharmacies to improve PrEP uptake in disadvantaged areas,NIMH,9695440,1R34MH119007-01,1,R34,MH,119007,1,,,10751579,"CRAWFORD, NATALIE D",Not Applicable,EMORY UNIVERSITY, ,2019,288719,
Feasibility of an Early Detection Program for Early Psychosis on a College Campus,NIMH,9825355,1R34MH120777-01,1,R34,MH,120777,1,,,8261876,"CRISANTI, ANNETTE S",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2019,225418,
Feasibility of a Behavioral Activation Trial in Community Mental Health,NIMH,9018403,1R34MH108818-01,1,R34,MH,108818,1,,,1883828,"CRITS-CHRISTOPH, PAUL F",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2016,241394,
NRT sampling and selection to Increase Medication Adherence,NIDA,9331196,1R34DA043346-01A1,1,R34,DA,43346,1,A1,,7042767,"CROPSEY, KAREN L",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2017,222750,
IMPART: A Provider-Assisted HIV Partner Notification & Testing Intervention for Prisoners in Indonesia.,NIMH,9616727,1R34MH115779-01A1,1,R34,MH,115779,1,A1,,14145952,"CULBERT, GABRIEL ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2018,246311,
Integrated Electronic and Care Manager Support Intervention for Caregivers of Adolescents with Suicide Attempts,NIMH,9506949,1R34MH112811-01A1,1,R34,MH,112811,1,A1,,6380823,"DANIEL, STEPHANIE S",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2018,247275,
Developing a Screening and Brief Intervention Package to Address Substance Use Risk in Pregnant and Postpartum Women in Home Visiting Programs,NIDA,9668361,1R34DA045831-01A1,1,R34,DA,45831,1,A1,,8539803,"DAUBER, SARAH E.",Not Applicable,NATIONAL CENTER ON ADDICTION/SUB ABUSE, ,2018,258797,
Mobile Contingency Management for Concurrent Abstinence from Alcohol and Smoking,NIAAA,9034409,1R34AA023877-01A1,1,R34,AA,23877,1,A1,,10353386,"DEDERT, ERIC A ","CALHOUN, PATRICK S.",DUKE UNIVERSITY, ,2017,228563,
Development of a mobile heath augmented brief suicide prevention intervention for people with SMI accessing community care,NIMH,9370600,1R34MH113613-01,1,R34,MH,113613,1,,,7901893,"DEPP, COLIN A.",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2017,232500,
Improving ART Adherence Through Urban Gardening and Peer Nutritional Counseling in the Dominican Republic,NIMH,9201736,1R34MH110325-01A1,1,R34,MH,110325,1,A1,,8180774,"DEROSE, KATHRYN PITKIN",Not Applicable,RAND CORPORATION, ,2016,254784,
Developing an Integrative Ayurvedic Intervention for Breast Cancer Survivorship,NCCIH,9012460,1R34AT008953-01,1,R34,AT,8953,1,,,8842731,"DHRUVA, ANAND ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,201000,
Development of a Novel Personalized Risk Assessment for College Alcohol Prevention,NIAAA,9824092,1R34AA027347-01A1,1,R34,AA,27347,1,A1,,6772116,"DICK, DANIELLE M ","LANGBERG, JOSHUA MORRIS",VIRGINIA COMMONWEALTH UNIVERSITY, ,2019,203434,
Utilizing Traditional Practices to Decrease Substance Use Among Native Americans,NIAAA,9088154,1R34AA024818-01,1,R34,AA,24818,1,,,9646878,"DICKERSON, DANIEL LEE",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2016,207533,
Effectiveness of Task Shifting to Peer Delivery of Behavioral Activation for Depression among Pregnant Women,NIMH,9162231,1R34MH110478-01,1,R34,MH,110478,1,,,8789033,"DIMIDJIAN, SONA ",Not Applicable,UNIVERSITY OF COLORADO, ,2016,248697,
Trial of Roflumilast in Asthma Management (TRIM),NHLBI,9227806,1R34HL135361-01,1,R34,HL,135361,1,,,7834905,"DIXON, ANNE E",Not Applicable,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE, ,2017,203278,
Pilot of Lifestyle in Asthma Intervention (PLAN),NHLBI,9296618,1R34HL136755-01,1,R34,HL,136755,1,,,7834905,"DIXON, ANNE E",Not Applicable,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE, ,2017,262188,
Can a Chatbot-delivered Alcohol Intervention Engage Users and Enhance Outcomes Over a Smartphone App? Development and Feasibility Testing of a StepAway 'Bot',NIAAA,9601549,1R34AA026440-01A1,1,R34,AA,26440,1,A1,,9824252,"DULIN, PATRICK L",Not Applicable,UNIVERSITY OF ALASKA ANCHORAGE, ,2018,292950,
Developing a Method to Empirically-evaluate Treatment for Pain within Opioid Maintenance Patients,NIDA,9385382,1R34DA042926-01A1,1,R34,DA,42926,1,A1,,10321952,"DUNN, KELLY E.",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2017,308659,
HOPE in Action: HIV-to-HIV Solid Organ Transplantation in the US,NIAID,9067676,1R34AI123023-01,1,R34,AI,123023,1,,,11229664,"DURAND, CHRISTINE MARIE",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2016,243000,
Unified Approach to Address PrEP Cascade for BMSM,NIMH,9558227,1R34MH115798-01A1,1,R34,MH,115798,1,A1,,10605745,"EATON, LISA A",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2018,159500,
Development and Pilot Trial of an Intervention to Reduce Disclosure Recipients Negative Social Reactions and Victims Psychological Distress and Problem Drinking,NIAAA,9370893,1R34AA024849-01A1,1,R34,AA,24849,1,A1,,11323766,"EDWARDS, KATIE M",Not Applicable,UNIVERSITY OF NEW HAMPSHIRE, ,2017,228736,
Preparation and Planning for the Prospective Randomized Image-guided Ophthalmic Surgery Clinical Trials,NEI,9585096,1R34EY029308-01,1,R34,EY,29308,1,,,11240037,"EHLERS, JUSTIS ",Not Applicable,CLEVELAND CLINIC LERNER COM-CWRU, ,2018,240000,
Augmenting hospitalization for SMI by targeting interpretation bias,NIMH,9503944,1R34MH113600-01A1,1,R34,MH,113600,1,A1,,8956937,"ELIAS, COURTNEY BEARD",Not Applicable,MCLEAN HOSPITAL, ,2018,328000,
Hydroxyurea Management in Kids: Intensive versus Stable Dosage Strategies (HUGKISS),NHLBI,9112200,1R34HL127162-01A1,1,R34,HL,127162,1,A1,,12302624,"ESTEPP, JEREMIE ",Not Applicable,ST. JUDE CHILDREN'S RESEARCH HOSPITAL, ,2016,413685,
Development and preliminary examination of two brief personalized feedback interventions focused on lab-based and EMA alcohol cues to reduce hazardous young adult alcohol use,NIAAA,9822731,1R34AA027302-01A1,1,R34,AA,27302,1,A1,,10404130,"FAIRLIE, ANNE MARIE ","RAMIREZ, JASON ",UNIVERSITY OF WASHINGTON, ,2019,240945,
Comprehensive Home-based Self-management Support for COPD Patients,NHLBI,9746302,1R34HL143747-01A1,1,R34,HL,143747,1,A1,,7082564,"FEDERMAN, ALEX D ","WISNIVESKY, JUAN P;WOLF, MICHAEL S",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2019,270069,
Investigating Flotation-REST as a novel technique for reducing anxiety and depression,NCCIH,9505032,1R34AT009889-01,1,R34,AT,9889,1,,,11697892,"FEINSTEIN, JUSTIN ",Not Applicable,LAUREATE INSTITUTE FOR BRAIN RESEARCH, ,2018,264801,
Planning a Trial of Novel Footwear for Knee Osteoarthritis,NIAMS,9102686,1R34AR068605-01A1,1,R34,AR,68605,1,A1,,1877725,"FELSON, DAVID TOBIN",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS, ,2016,361753,
Revealing neural computations through combined optical and electrical recordings,NINDS,9745392,1R34NS111645-01,1,R34,NS,111645,1,,,11483919,"FIELD, GREGORY DARIN ","SHER, ALEXANDER ",DUKE UNIVERSITY, ,2019,679685,
Pharmacokinetics of oral L-citrulline in infants at high risk of developing pulmonary hypertension associated with bronchopulmonary dysplasia,NHLBI,9577414,1R34HL142995-01,1,R34,HL,142995,1,,,1962371,"FIKE, CANDICE D",Not Applicable,UNIVERSITY OF UTAH, ,2018,242876,
Addressing Social Determinants of Health & Diabetes Self-Management in Vulnerable Populations,NIDDK,9658740,1R34DK119853-01,1,R34,DK,119853,1,,,11957475,"FITZPATRICK, STEPHANIE LENAY",Not Applicable,KAISER FOUNDATION RESEARCH INSTITUTE, ,2018,237000,
Pediatric Replacement of the Pulmonary Valve - TOF Trial,NHLBI,9541228,1R34HL142142-01,1,R34,HL,142142,1,,,1912865,"FOGEL, MARK A",Not Applicable,CHILDREN'S HOSP OF PHILADELPHIA, ,2018,330330,
Combining PrEP with contraception: a pilot test of an intervention to increase adherence to PrEP in adolescent girls and young women in Zimbabwe,NIMH,9781257,1R34MH119982-01,1,R34,MH,119982,1,,,8091681,"FRIEDLAND, BARBARA A ","MGODI, NYARADZO ;PILGRIM, NANLESTA AUTUMN",POPULATION COUNCIL, ,2019,281239,
Praziquantel for children under four: A Phase II PK/PD driven dose finding trial,NIAID,9352517,1R34AI132000-01,1,R34,AI,132000,1,,,2047167,"FRIEDMAN, JENNIFER F ","BUSTINDUY, AMAYA LOPEZ",RHODE ISLAND HOSPITAL, ,2017,205387,
Merging Yoga and self-management to develop Skills (MY-Skills),NCCIH,9429300,1R34AT009688-01,1,R34,AT,9688,1,,,9076583,"FRUHAUF, CHRISTINE ANN ","SCHMID, ARLENE ANN",COLORADO STATE UNIVERSITY, ,2018,151382,
Optimizing Study Design to Test a Community-level Intervention to Reduce Intersectional Stigma and Increase HIV Testing and Prevention among African-American/Black MSM,NIMH,9853327,1R34MH121295-01,1,R34,MH,121295,1,,,8156748,"FRYE, VICTORIA ",Not Applicable,CITY COLLEGE OF NEW YORK, ,2019,246680,
DEVELOPMENT OF A MULTIMODAL MOBILE SLEEP INTERVENTION USING WEARABLE TECHNOLOGY TO REDUCE HEAVY DRINKING IN YOUNG ADULTS,NIAAA,9528805,1R34AA026021-01A1,1,R34,AA,26021,1,A1,,8619862,"FUCITO, LISA M",Not Applicable,YALE UNIVERSITY, ,2018,240781,
PrEP Seguro: Antiretrovial-based HIV prevention among men at high risk in Mexico,NIMH,9410593,1R34MH114664-01,1,R34,MH,114664,1,,,8880737,"GALARRAGA, OMAR ",Not Applicable,BROWN UNIVERSITY, ,2017,254930,
Impact of clinician Virtual Human Interaction training in Emotional Self-Awareness on patients Suicidal Ideation and Suicide Crisis Syndrome: a Randomized Controlled Trial,NIMH,9725471,1R34MH119294-01,1,R34,MH,119294,1,,,7701616,"GALYNKER, IGOR ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2019,386902,
Physical Activity in Latino Men Through Tailoring: Hombres Saludables,NHLBI,9182483,1R34HL128067-01A1,1,R34,HL,128067,1,A1,,1974437,"GANS, KIM M. ","KEITA, AKILAH JOYCE;MARCUS, BESS HYA",UNIVERSITY OF CONNECTICUT STORRS, ,2016,307603,
