Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Combatting Bladder Cancer by Inducing Epithelial Turnover,NCI,9724648,1R21CA223093-01A1,1,R21,CA,223093,1,A1,,1888068,"ABRAHAM, SOMAN N",Not Applicable,DUKE UNIVERSITY, ,2019,203510,
Non-competitive proteasome inhibitors to treat chronic; drug-resistant tuberculosis,NIAID,9034019,1R21AI117018-01A1,1,R21,AI,117018,1,A1,,9403599,"ABRAMOVITCH, ROBERT B ","TEPE, JETZE J.",MICHIGAN STATE UNIVERSITY, ,2016,180825,
Excess Nitric Oxide as a Mechanism of Glial Dysfunction in CMT1X,NINDS,9462471,1R21NS100000-01A1,1,R21,NS,100000,1,A1,,1904967,"ABRAMS, CHARLES K",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2017,199875,
Preventing HIV/AIDS by Building Capacity to Reduce Stigma Among Providers for Pregnant Women in Rural Haiti.,FIC,9612946,1R21TW011078-01,1,R21,TW,11078,1,,,11595347,"ABRAMS, JASMINE ",Not Applicable,UNIVERSITY OF MARYLAND BALT CO CAMPUS, ,2018,206767,
Control of bone homeostasis by MT1-MMP signaling,NIAMS,9109326,1R21AR069240-01A1,1,R21,AR,69240,1,A1,,6606648,"ABRAMSON, STEVEN B",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2016,222600,
A Tailored Physical Activity Smartphone App for Patients with Alcohol Dependence,NIAAA,9112077,1R21AA024295-01A1,1,R21,AA,24295,1,A1,,7384645,"ABRANTES, ANA M.",Not Applicable,"BUTLER HOSPITAL (PROVIDENCE, RI)", ,2016,254704,
tDCS for Increasing Exercise Adherence in Individuals with Elevated Depressive Symptoms,NCI,9262710,1R21CA214102-01A1,1,R21,CA,214102,1,A1,,7384645,"ABRANTES, ANA M. ","GARNAAT, SARAH LYNN","BUTLER HOSPITAL (PROVIDENCE, RI)", ,2017,185963,
Peer-Facilitated Physical Activity Intervention Delivered During Methadone Maintenance,NIDA,9244180,1R21DA041553-01A1,1,R21,DA,41553,1,A1,,7384645,"ABRANTES, ANA M. ","STEIN, MICHAEL D","BUTLER HOSPITAL (PROVIDENCE, RI)", ,2016,223516,
Nanocarrier-targeted mesenchymal stem cells to treat inflammatory bowel disease,NIAID,9093326,1R21AI124058-01,1,R21,AI,124058,1,,,1866771,"ABREU, MARIA TERESA ","DAUNERT, SYLVIA ;VELAZQUEZ, OMAIDA C",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2016,230250,
Acceptability and feasibility of Community-based mHealth Motivational Interviewing Tool for Depression (COMMIT-D) to improve adherence to treatment,NIMH,9774533,1R21MH116728-01A1,1,R21,MH,116728,1,A1,,12358296,"ACHARYA, BIBHAV  ","MARU, DUNCAN ","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2019,207333,
Antibodies associated with protection against tuberculosis in nonhuman primates,NIAID,9412348,1R21AI127173-01A1,1,R21,AI,127173,1,A1,,8666804,"ACHKAR, JACQUELINE MICHELE",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC", ,2017,264807,
Spatiotemporal Regulation of Brain RNase P as a Basis for Neurological Disorders,NINDS,9092220,1R21NS096600-01,1,R21,NS,96600,1,,,1922023,"ACKERMAN, SUSAN L ","GOPALAN, VENKAT ","UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2016,245500,
Single cell magnetic microscopy with multicolor superparamagnetic probes.,NIBIB,9651356,1R21EB027405-01,1,R21,EB,27405,1,,,12650294,"ACOSTA, VICTOR MARCEL",Not Applicable,UNIVERSITY OF NEW MEXICO, ,2018,145698,
Roles of Synaptotagmin-2 in Airway Obstruction,NIAID,9599358,1R21AI137319-01A1,1,R21,AI,137319,1,A1,,8612199,"ADACHI, ROBERTO ",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR, ,2018,240000,
Sh3gl2 and chemosensitivity of bladder cancer,NCI,9179129,1R21CA198722-01A1,1,R21,CA,198722,1,A1,,7647505,"ADAM, ROSALYN M",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2016,282050,
Sofosbuvir Protection of the Fetal Brain from Zika Virus Infection in Pregnancy,NIAID,9742367,1R21AI144938-01,1,R21,AI,144938,1,,,7980169,"ADAMS WALDORF, KRISTINA M",Not Applicable,UNIVERSITY OF WASHINGTON, ,2019,264500,
Impact of ethnicity in the gut microbiome in response to oral vitamin D replacement,NIAMS,9464319,1R21AR073018-01,1,R21,AR,73018,1,,,2058705,"ADAMS, JOHN S",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2017,301854,
Classifying and Comparing Diagnostic Strategies for Dizziness with a Claims-Based Analysis,NIDCD,9517359,1R21DC016359-01A1,1,R21,DC,16359,1,A1,,10732395,"ADAMS, MEREDITH EVELYN",Not Applicable,UNIVERSITY OF MINNESOTA, ,2018,153750,
Transcriptomic and epigenetic regulators of Drosophila heart aging,NIA,9669704,1R21AG058075-01A1,1,R21,AG,58075,1,A1,,6483311,"ADAMS, PETER D.",Not Applicable,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE, ,2019,292500,
Characterizing the Respiratory Microbiome Via a Novel; Non-Invasive Technique,NIAID,9034939,1R21AI117371-01A1,1,R21,AI,117371,1,A1,,9863978,"ADAR, SARA ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2016,232500,
Neural correlates of distress tolerance in tobacco addiction,NIDA,9667045,1R21DA045970-01A1,1,R21,DA,45970,1,A1,,8324749,"ADDICOTT, MERIDETH A",Not Applicable,UNIV OF ARKANSAS FOR MED SCIS, ,2019,234060,
The Role of Humectants and Flavor on Microbial Growth in Waterpipe Tobacco,NCI,9868556,1R21CA244305-01,1,R21,CA,244305,1,,,14594714,"ADETONA, ANNA MARIE",Not Applicable,BATTELLE CENTERS/PUB HLTH RES & EVALUATN, ,2019,253721,
Exposure and Health Effects from Poly- and Perfluoroalkyl Substances in Colorado Water,NIEHS,9552471,1R21ES029394-01,1,R21,ES,29394,1,,,6648819,"ADGATE, JOHN L.",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2018,245651,
Volumetric Traction Force Tomography of Collective Cell Migration Dynamics,NIBIB,9245277,1R21EB022927-01A1,1,R21,EB,22927,1,A1,,10930392,"ADIE, STEVEN GRAHAM",Not Applicable,CORNELL UNIVERSITY, ,2016,195256,
THREE-DIMENSIONAL MECHANO-MICROSCOPY OF THE STEM CELL NICHE,NIBIB,9530263,1R21EB024747-01A1,1,R21,EB,24747,1,A1,,10930392,"ADIE, STEVEN GRAHAM",Not Applicable,CORNELL UNIVERSITY, ,2018,229401,
Development of Hybrid Adaptive Optics for Multimodal Microscopy Deep in the Mouse Brain,NEI,9395572,1R21EY028389-01,1,R21,EY,28389,1,,,10930392,"ADIE, STEVEN GRAHAM",Not Applicable,CORNELL UNIVERSITY, ,2017,244625,
Test if antitumor T cells use a putative super-enhancer in the Il1rl2-Il1rl1 intergenic region to form 'innate-like' responses to cytokines,NIAID,9585298,1R21AI139891-01,1,R21,AI,139891,1,,,1945760,"ADLER, ADAM J ","VELLA, ANTHONY T",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT, ,2018,199375,
Evaluating the Comparative Effectiveness of Medical Therapy for Prevention of Perianal Fistula Development in Pediatric Crohn's Disease,NIDDK,9316062,1R21DK109447-01A1,1,R21,DK,109447,1,A1,,11037074,"ADLER, JEREMY ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2017,232625,
Restricting radiosensitization through ErbB targeted antibody drug conjugates,NCI,9101303,1R21CA205765-01,1,R21,CA,205765,1,,,11182831,"ADVANI, SUNIL J",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2016,168563,
Cytosolic mRNA Uridylation in Trypanosoma brucei,NIAID,9226222,1R21AI128189-01,1,R21,AI,128189,1,,,7690947,"AFASIZHEV, RUSLAN ",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS, ,2017,205625,
High Throughput Mechanical Modulatory Assay for Breast Cancer Drug Testing,NCI,9187059,1R21CA210126-01,1,R21,CA,210126,1,,,8652375,"AGAH, MASOUD ",Not Applicable,VIRGINIA POLYTECHNIC INST AND ST UNIV, ,2016,186775,
A New Empirical Model of Deceased Donor Kidney Allocation,NIDDK,9456189,1R21DK113626-01A1,1,R21,DK,113626,1,A1,,12257091,"AGARWAL, NIKHIL ",Not Applicable,NATIONAL BUREAU OF ECONOMIC RESEARCH, ,2018,230885,
MicroRNAs in Skin Inflammation and Wounding by Mustard Vesicants.,NIAMS,9707414,1R21AR074929-01,1,R21,AR,74929,1,,,1865330,"AGARWAL, RAJESH ",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2019,194375,
Defining the Mechanism of Altered Very Long Chain Fatty Acid Metabolism in Neuro-Ichthyotic Disorders.,NIAMS,9809522,1R21AR076035-01,1,R21,AR,76035,1,,,9714048,"AGBAGA, MARTIN-PAUL ",Not Applicable,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR, ,2019,191400,
Structure and dynamics of the VP1u infectivity domain of the Parvoviridae,NIAID,9180491,1R21AI126583-01,1,R21,AI,126583,1,,,6490631,"AGBANDJE-MCKENNA, MAVIS ",Not Applicable,UNIVERSITY OF FLORIDA, ,2016,192409,
Structure guided discovery of chemical probes for targeting Zika methyltransferase,NIAID,9649826,1R21AI142337-01,1,R21,AI,142337,1,,,1869991,"AGGARWAL, ANEEL K.",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2019,254250,
Oscillating gradient diffusion MRI and quantitative susceptibility mapping in the epileptogenic brain,NINDS,9244371,1R21NS096249-01A1,1,R21,NS,96249,1,A1,,11268254,"AGGARWAL, MANISHA ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2016,241282,
Effect of e-cigarettes on oral tissues in health and disease,NIDCR,9115800,1R21DE025982-01,1,R21,DE,25982,1,,,7565671,"AGHALOO, TARA L ","TETRADIS, SOTIRIOS ",UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2016,222586,
Selective Vulnerability of Somatostatin-Containing Interneurons in Early Alzheimer's Disease,NINDS,9736911,1R21NS111541-01,1,R21,NS,111541,1,,,1866907,"AGMON, ARIEL ",Not Applicable,WEST VIRGINIA UNIVERSITY, ,2019,429880,
Analysis of HCC CTC Phenotype for Liver Transplant Candidate Selection,NCI,9512319,1R21CA216807-01A1,1,R21,CA,216807,1,A1,,14096523,"AGOPIAN, VATCHE ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2018,203254,
Identifying potent and broadly-neutralizing henipaviral antigens and epitopes,NIAID,9652085,1R21AI142377-01,1,R21,AI,142377,1,,,8867851,"AGUILAR-CARRENO, HECTOR ",Not Applicable,CORNELL UNIVERSITY, ,2019,227938,
All optical in vivo cardiac electrophysiology at cellular resolution,NIBIB,9584312,1R21EB026762-01,1,R21,EB,26762,1,,,11453518,"AGUIRRE, AARON D",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2018,250170,
Mobile-based Care for children with Autism Spectrum Disorder using Remote Experience Sampling Method (mCARE),NIMH,9554397,1R21MH116726-01,1,R21,MH,116726,1,,,11091545,"AHAMED, SHEIKH IQBAL",Not Applicable,MARQUETTE UNIVERSITY, ,2018,207627,
Technologies for simultaneous characterization of regulatory activity and protein binding,NHGRI,9807617,1R21HG010683-01,1,R21,HG,10683,1,,,9297223,"AHITUV, NADAV ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2019,240876,
Group Visits for Advance Care Planning Among Older Adults with Heart Failure,NIA,9317187,1R21AG053716-01A1,1,R21,AG,53716,1,A1,,12264943,"AHLUWALIA, SANGEETA C",Not Applicable,RAND CORPORATION, ,2017,208375,
A Bayesian Model for MRI-based Accelerated 4D Flow Imaging of Aortic Valve Stenosis,NIBIB,9112364,1R21EB021655-01A1,1,R21,EB,21655,1,A1,,9231849,"AHMAD, RIZWAN ",Not Applicable,OHIO STATE UNIVERSITY, ,2016,183576,
Background phase correction for quantitative cardiovascular MRI,NIBIB,9182586,1R21EB022277-01A1,1,R21,EB,22277,1,A1,,9231849,"AHMAD, RIZWAN ",Not Applicable,OHIO STATE UNIVERSITY, ,2016,183576,
Prospective Slice Tracking for Cardiac MRI,NIBIB,9587091,1R21EB026657-01,1,R21,EB,26657,1,,,9231849,"AHMAD, RIZWAN  ","SIMONETTI, ORLANDO PAUL",OHIO STATE UNIVERSITY, ,2018,185264,
Using in vivo calcium imaging to differentiate prefrontal cortex activity underlying OCD-relevant impairments in cognitive flexibility and compulsive grooming,NIMH,9504251,1R21MH116330-01,1,R21,MH,116330,1,,,9737740,"AHMARI, SUSANNE ELIZABETH",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2018,195208,
Novel targeted therapeutics for regulating synovial hyperplasia in RA,NIAMS,9109868,1R21AR068517-01A1,1,R21,AR,68517,1,A1,,8603020,"AHMED, SALAH-UDDIN ",Not Applicable,WASHINGTON STATE UNIVERSITY, ,2016,200530,
Mutagenesis and migration in glioblastoma cells,NCI,9528093,1R21CA220111-01A1,1,R21,CA,220111,1,A1,,10892231,"AHN, EUN HYUN ",Not Applicable,UNIVERSITY OF WASHINGTON, ,2018,179240,
Expansion of Unnatural Fluorescent Protein Probes,NIBIB,9112283,1R21EB021651-01A1,1,R21,EB,21651,1,A1,,11106627,"AI, HUIWANG ",Not Applicable,UNIVERSITY OF CALIFORNIA RIVERSIDE, ,2016,193750,
Microparticle resiquimod for the treatment of visceral leishmaniasis,NIAID,9091911,1R21AI123692-01,1,R21,AI,123692,1,,,8299299,"AINSLIE, KRISTY M",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2016,199258,
The horse as a sentinel for human reproductive and neurodevelopmental disorders associated with environmental chemical exposures,NIEHS,9018281,1R21ES026398-01,1,R21,ES,26398,1,,,12571233,"AINSWORTH, DOROTHY M ","ANDERSON, KIM A.",CORNELL UNIVERSITY, ,2016,236146,
Applying the principle of synthetic lethality to virus-host protein-protein interactions as a novel approach for antiviral development,NIAID,9102845,1R21AI124266-01,1,R21,AI,124266,1,,,6875085,"AITCHISON, JOHN D.",Not Applicable,SEATTLE BIOMEDICAL RESEARCH INSTITUTE, ,2016,283500,
Improving white matter integrity with thyroid hormone,NINDS,9182242,1R21NS095723-01A1,1,R21,NS,95723,1,A1,,8765863,"AJILORE, OLUSOLA ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2016,239850,
Role of CCN5 in heart failure related arrhythmias,NIA,9196927,1R21AG054211-01,1,R21,AG,54211,1,,,7647027,"AKAR, FADI GABRIEL",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2016,254250,
Developing reciprocal chromosomal translocations for wild population replacement in an important vector of human disease.,NIAID,9243803,1R21AI123937-01A1,1,R21,AI,123937,1,A1,,10985411,"AKBARI, OMAR SULTAN",Not Applicable,UNIVERSITY OF CALIFORNIA RIVERSIDE, ,2017,232500,
Role of Microbiome Sodium Butyrate in regulation of ILC2 dependent airway hyperreactivity,NIAID,9352668,1R21AI132084-01,1,R21,AI,132084,1,,,8145775,"AKBARI, OMID ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2017,247500,
Multimodal Optical Imaging of Hyperdynamic Cerebral Responses to Cardiac Arrest and Resuscitation,NIBIB,9376003,1R21EB024793-01,1,R21,EB,24793,1,,,6857178,"AKBARI, YAMA ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2017,221668,
Retrospective Genomics in Mouse Prefrontal Cortex,NIMH,9147736,1R21MH110937-01,1,R21,MH,110937,1,,,7040372,"AKBARIAN, SCHAHRAM ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2016,254250,
Understanding the electrical properties of brain tissues,NINDS,9587476,1R21NS108247-01,1,R21,NS,108247,1,,,2475116,"AKHTARI, MASSOUD ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2018,234000,
Cartilage Repair by Condensed Mesenchymal Stem Cell Delivery via Collagen Fabric,NIAMS,9245344,1R21AR068516-01A1,1,R21,AR,68516,1,A1,,7938705,"AKKUS, OZAN ",Not Applicable,CASE WESTERN RESERVE UNIVERSITY, ,2017,174350,
Immunoregenerative treatment of Stress Urinary Incontinence by Autologous Macrophage Therapy,NICHD,9510499,1R21HD095439-01,1,R21,HD,95439,1,,,7938705,"AKKUS, OZAN  ","HIJAZ, ADONIS K",CASE WESTERN RESERVE UNIVERSITY, ,2018,200000,
Rapid and sensitive in vivo detection of opioid peptides,NIDA,9767373,1R21DA048650-01,1,R21,DA,48650,1,,,11232592,"AL-HASANI, REAM ",Not Applicable,ST. LOUIS COLLEGE OF PHARMACY, ,2019,243248,
Behavioral and cell-based complementary screens to identify druggable targets modulating tau protein levels,NINDS,9090801,1R21NS096395-01,1,R21,NS,96395,1,,,10192713,"AL-RAMAHI, ISMAEL ",Not Applicable,BAYLOR COLLEGE OF MEDICINE, ,2016,237750,
Intestinal Immune Response in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,NIAID,9021859,1R21AI121996-01,1,R21,AI,121996,1,,,7371669,"ALAEDINI, ARMIN ",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2016,200000,
Wireless; Self-Powered Sensors for Continuous and Long-term Monitoring of Spinal Fusion Process,NIAMS,9720185,1R21AR075242-01,1,R21,AR,75242,1,,,15549833,"ALAVI, AMIR H. ","CHAKRABARTTY, SHANTANU ",UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2019,221018,
Mechanism and Function of Arc Palmitoylation,NIMH,9128137,1R21MH110223-01,1,R21,MH,110223,1,,,1932027,"ALBANESI, JOSEPH P ","HUBER, KIMBERLY ",UT SOUTHWESTERN MEDICAL CENTER, ,2016,242563,
E protein activity regulates effector lineage differentiation of NKT and ILCs,NIAID,9120125,1R21AI122693-01A1,1,R21,AI,122693,1,A1,,3061414,"ALBEROLA-ILA, JOSE ",Not Applicable,OKLAHOMA MEDICAL RESEARCH FOUNDATION, ,2016,214375,
Advances in the Study of Social Neuroendocrinology,NIMH,9261212,1R21MH109302-01A1,1,R21,MH,109302,1,A1,,1901366,"ALBERS, ELLIOTT H ","HUHMAN, KIM L;JIN, CHENGLIU ",GEORGIA STATE UNIVERSITY, ,2016,227250,
Genetic mapping of cellular trait variation in single human individuals,NHGRI,9648021,1R21HG010380-01,1,R21,HG,10380,1,,,12237208,"ALBERT, FRANK WOLFGANG ","TOLAR, JAKUB ",UNIVERSITY OF MINNESOTA, ,2018,231000,
Mother-Offspring Microbiome as Perinatal Substrate for Neurobehavioral Development,NICHD,9034996,1R21HD083769-01A1,1,R21,HD,83769,1,A1,,1957692,"ALBERTS, JEFFREY R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
Genome amplification and dysbiosis in tongue cancer,NIDCR,9403457,1R21DE026964-01A1,1,R21,DE,26964,1,A1,,1964334,"ALBERTSON, DONNA G ","SCHMIDT, BRIAN L",NEW YORK UNIVERSITY, ,2017,198125,
Assessing disaster related stressors and resiliency factors in a criminal justice population,NIDA,9686051,1R21DA048394-01,1,R21,DA,48394,1,,,7106291,"ALBIZU-GARCIA, CARMEN E.",Not Applicable,UNIVERSITY OF PUERTO RICO MED SCIENCES, ,2018,218729,
Surfactant Protein-A as a biomarker to predict development of NEC in infants,NICHD,9436924,1R21HD094069-01,1,R21,HD,94069,1,,,1899591,"ALCORN, JOSEPH L",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2018,231000,
Anticoagulant Use; Safety; and Effectiveness for Ischemic Stroke Prevention in Nursing Home Residents with Atrial Fibrillation,NIA,9584915,1R21AG060529-01,1,R21,AG,60529,1,,,14346858,"ALCUSKY, MATTHEW ",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,2018,251250,
Novel Immunomodulating Therapeutics for HIV-1 Treatment,NIAID,9063707,1R21AI122808-01,1,R21,AI,122808,1,,,11788325,"ALDHAMEN, YASSER ",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2016,223288,
Macrophage lineage SIV persistence and latency during suppressive ART in Macaques,NIAID,9621980,1R21AI140914-01,1,R21,AI,140914,1,,,1890852,"ALDOVINI, ANNA ",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2018,265500,
O-linked-N-acetylglucosamine Post-translational Modification in Pancreatic Beta-cells Regulating ER Stress and Mitochondrial Function,NIDDK,9387765,1R21DK112144-01A1,1,R21,DK,112144,1,A1,,8821802,"ALEJANDRO, EMILYN ",Not Applicable,UNIVERSITY OF MINNESOTA, ,2017,191459,
Increasing Access to Clinical Microbiome Specimens via a Living µbiome Bank,NCATS,9604164,1R21TR002513-01,1,R21,TR,2513,1,,,10363400,"ALEKSEYENKO, ALEXANDER V.",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2018,242549,
Automatic Rib Fracture Detection in Pediatric Radiography to Identify Non-Accidental Trauma,NICHD,9658063,1R21HD097609-01,1,R21,HD,97609,1,,,8540275,"ALESSIO, ADAM M",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2019,223004,
Epigenetic Changes and Delirium After Intensive Care Unit Admission,NIA,9668840,1R21AG059167-01A1,1,R21,AG,59167,1,A1,,8464468,"ALEXANDER, SHEILA A",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2019,234750,
Regulation of avidity in T lymphocytes,NIAID,9039367,1R21AI122330-01,1,R21,AI,122330,1,,,1946193,"ALEXANDER-MILLER, MARTHA ANN",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2016,229390,
Immune regulation by pneumococcus,NIAID,9317155,1R21AI125780-01A1,1,R21,AI,125780,1,A1,,1946193,"ALEXANDER-MILLER, MARTHA ANN",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2017,232500,
Effectiveness of R848 conjugated IPR8 as a vaccine for the elderly,NIAID,9821896,1R21AI137741-01A1,1,R21,AI,137741,1,A1,,1946193,"ALEXANDER-MILLER, MARTHA ANN",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2019,232500,
Shotgun method for massive mutational interrogation of the entire human genome,NHGRI,9227366,1R21HG009362-01,1,R21,HG,9362,1,,,10612913,"ALEXANDROV, ANDREI ",Not Applicable,YALE UNIVERSITY, ,2017,209375,
Inhibition of the CMG Helicase as Novel Anti-Neoplastic Approach,NCI,8993839,1R21CA187513-01A1,1,R21,CA,187513,1,A1,,8524439,"ALEXANDROW, MARK G",Not Applicable,H. LEE MOFFITT CANCER CTR & RES INST, ,2016,219893,
Osteoinductive Microgel-Based Scaffolds for hMSC Delivery,NIAMS,9299161,1R21AR071625-01,1,R21,AR,71625,1,,,10434583,"ALGE, DANIEL ",Not Applicable,TEXAS ENGINEERING EXPERIMENT STATION, ,2017,190196,
