NIHID	NAME	Organization	Project.Title	FY	Activity	Award Category	Source	Other.PI.or.Project.Leader.s.	Project.Number	ARRA.Indicator	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	Stats	Administering..IC	Application.ID	Type	IC	Serial.Number	Support.Year	Suffix	Subproject.Number
9886789	"AGARWAL, ANUPRIYA "	Oregon Health & Science University	Mechanisms and targeting of inflammatory cytokine-driven expansion and progression in AML	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA229875-01A1	NA	349698	NA	Include	NCI	9737704	1	CA	229875	1	A1	NA
8153099	"AGRAWAL, DEVENDRA K."	Western University Of Health Sciences	Novel Molecular Target to Prevent Maturation Failure of Arteriovenous Fistula	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL147662-01A1	NA	704979	NA	Include	NHLBI	9839950	1	HL	147662	1	A1	NA
11453518	"AGUIRRE, AARON D"	Massachusetts General Hospital	Dynamic Single Cell Imaging of Coronary Microvascular Dysfunction in the Failing Heart	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL144515-01	NA	411996	NA	Include	NHLBI	9637037	1	HL	144515	1		NA
6278688	"AGUS, MICHAEL SD "	Boston Children's Hospital	SHIPSS:  Stress Hydrocortisone In Pediatric Septic Shock	2019	R01	R01Equiv	NIH	"WONG, HECTOR R;WYPIJ, DAVID ;ZIMMERMAN, JERRY JOHN"	1R01HD096901-01A1	NA	1893540	NA	Include	NICHD	9764560	1	HD	96901	1	A1	NA
1894796	"AHMAD, IQBAL "	University Of Nebraska Medical Center	Human Disease Modeling of Glaucomatous Neuropathy	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY029778-01	NA	381250	NA	Include	NEI	9643771	1	EY	29778	1		NA
8576614	"AHSAN, FAKHRUL "	Texas Tech University Health Scis Center	Recapitulation of sex- disparity in PAH on a microfluidic device and elucidation of  the differences and similarities  in the development; progression and therapy of PAH in male versus female patients	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL144590-01	NA	510112	NA	Include	NHLBI	9638832	1	HL	144590	1		NA
8796954	"AHVENINEN, JYRKI  "	Massachusetts General Hospital	Mapping the intrinsic functional organization of auditory cortex in individual subjects using 7T MRI	2019	R01	R01Equiv	NIH	"LIU, HESHENG "	1R01DC017991-01	NA	704052	NA	Include	NIDCD	9796983	1	DC	17991	1		NA
10832361	"AI, XUN  "	Rush University Medical Center	Heart-platelet crosstalk: JNK; AF; and thrombogenesis	2019	R01	R01Equiv	NIH	"LI, ZHENYU "	1R01HL146744-01	NA	626007	NA	Include	NHLBI	9715472	1	HL	146744	1		NA
7647769	"AIFANTIS, IANNIS "	New York University School Of Medicine	Mechanisms of enhancer regulation in leukemia	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA228135-01A1	NA	519834	NA	Include	NCI	9670272	1	CA	228135	1	A1	NA
9490226	"AIKAWA, ELENA "	Brigham And Women's Hospital	New driver of fibrosis and calcification in CAVD	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL147095-01	NA	607627	NA	Include	NHLBI	9715390	1	HL	147095	1		NA
6406121	"AIKAWA, MASANORI  "	Brigham And Women's Hospital	Pro-inflammatory activation of human macrophages regulated by lncRNAs	2019	R01	R01Equiv	NIH	"SHARMA, AMITABH "	1R01HL149302-01	NA	767374	NA	Include	NHLBI	9840015	1	HL	149302	1		NA
9460193	"AL-AHMADIE, HIKMAT "	Sloan-Kettering Inst Can Research	Defining the impact of intra-tumoral morphologic; immune and mutational heterogeneity in urothelial carcinoma	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA233899-01A1	NA	410835	NA	Include	NCI	9761647	1	CA	233899	1	A1	NA
6664326	"AL-HARTHI, LENA "	Rush University Medical Center	Dynamic interaction between HIV in the CNS and peripheral organs	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS108796-01A1	NA	738745	NA	Include	NINDS	9694883	1	NS	108796	1	A1	NA
8648040	"ALDRIDGE, MELISSA DIANE"	Icahn School Of Medicine At Mount Sinai	Family Burden and Expenditures in Hospice	2019	R01	R01Equiv	NIH	Not Applicable	1R01NR018462-01	NA	396834	NA	Include	NINR	9716080	1	NR	18462	1		NA
1888416	"ALEGRIA, MARGARITA "	Massachusetts General Hospital	1/2-Building Infrastructure for Community Capacity in Accelerating Integrated Care	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH117247-01A1	NA	955378	NA	Include	NIMH	9724121	1	MH	117247	1	A1	NA
6619355	"ALLIKMETS, RANDO L"	Columbia University Health Sciences	Stargardt disease with low lipofuscin	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY028954-01A1	NA	533157	NA	Include	NEI	9661296	1	EY	28954	1	A1	NA
8501321	"ALLRED, NICHOLETTE D"	Wake Forest University Health Sciences	Metabolomics of Neurocognitive Risk for Dementia in Diabetes	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG058921-01A1	NA	763841	NA	Include	NIA	9660891	1	AG	58921	1	A1	NA
8304683	"ALVAREZ, OFELIA AMPARO"	University Of Miami School Of Medicine	Comparative Study of Haitian and Miami Cohorts of Haitian-American and Haitian Immigrant Children with Sickle Cell Disease (CSHSCD)	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL149121-01	NA	664824	NA	Include	NHLBI	9824207	1	HL	149121	1		NA
8772287	"ALVIS, BRET D"	Vanderbilt University Medical Center	Venous Waveform Analysis to Predict Volume Overload	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL148244-01	NA	425000	NA	Include	NHLBI	9802177	1	HL	148244	1		NA
10864920	"AMARIGLIO, REBECCA E"	Brigham And Women's Hospital	Characterizing the evolution of Subjective Cognitive Decline in preclinical Alzheimer's disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG058825-01A1	NA	835070	NA	Include	NIA	9659693	1	AG	58825	1	A1	NA
6424615	"AMBROSONE, CHRISTINE B. "	Roswell Park Cancer Institute Corp	Relationships between parity; breastfeeding and ER- breast cancer in African American women: Elucidating the biologic underpinnings at the molecular and cellular level.	2019	R01	R01Equiv	NIH	"HIGGINS, MICHAEL J;PALMER, JULIE R"	1R01CA225947-01A1	NA	697798	NA	Include	NCI	9668422	1	CA	225947	1	A1	NA
1934608	"ANDREASSEN, PAUL R"	Cincinnati Childrens Hosp Med Ctr	Functional characterization of the role of distinct domains of ATM and the impact of sequence variants on the DNA damage response	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM134731-01	NA	324767	NA	Include	NIGMS	9796835	1	GM	134731	1		NA
1878458	"ANDREEFF, MICHAEL  "	University Of Tx Md Anderson Can Ctr	Ph1/2 Study of the Imipridone ONC201 for Treatment of AML IND125;203 (12/23/2014)	2019	R01	R01Equiv	NIH	"ISHIZAWA, JO "	1R01FD006118-01A1	NA	249999	NA	Include	FDA	9806956	1	FD	6118	1	A1	NA
8966918	"ANTHONY, ROBERT MCCULLOUGH"	Massachusetts General Hospital	Novel Roles of IgE Glycosylation in Anaphylaxis	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI139669-01A1	NA	497200	NA	Include	NIAID	9739603	1	AI	139669	1	A1	NA
2123573	"ANTHONY, TODD ERRYL"	Boston Children's Hospital	Genetic dissection of lateral septal circuitry that controls stress-induced persistent anxiety states	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH117421-01A1	NA	587182	NA	Include	NIMH	9740366	1	MH	117421	1	A1	NA
9428614	"ARAI, KEN "	Massachusetts General Hospital	Oligodendrocyte precursor cells regulate white matter remodeling in vascular cognitive impairment and dementia	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS113556-01	NA	458485	NA	Include	NINDS	9839310	1	NS	113556	1		NA
9246956	"ARCOLEO, KIMBERLY JOAN"	Research Inst Nationwide Children's Hosp	School-Based Asthma Therapy (SBAT) to Reduce Disparities in Childhood Asthma: Pragmatic Process and Program Implementation Evaluation	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL144652-01A1	NA	681510	NA	Include	NHLBI	9821986	1	HL	144652	1	A1	NA
2087173	"ARMSTRONG, KATRINA  "	Massachusetts General Hospital	Advancing Palliative Care in Northern Plains American Indians	2019	R01	R01Equiv	NIH	"PETEREIT, DANIEL G"	1R01CA240080-01	NA	658217	NA	Include	NCI	9788019	1	CA	240080	1		NA
2160889	"ARNAOUT, M. AMIN "	Massachusetts General Hospital	Platelet alphaIIbbeta3 activation and its therapeutic targeting	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL141366-01A1	NA	567504	NA	Include	NHLBI	9660781	1	HL	141366	1	A1	NA
1925691	"AROIAN, RAFFI V"	Univ Of Massachusetts Med Sch Worcester	A dual-purpose vaccine targeting blood-feeding nematode parasites of sheep and humans	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD099072-01	NA	526951	NA	Include	NICHD	9795199	1	HD	99072	1		NA
2282452	"ARONOWSKI, JAROSLAW  "	University Of Texas Hlth Sci Ctr Houston	Humanin and Intracerebral Hemorrhage	2019	R01	R01Equiv	NIH	"JUNG, JOO EUN "	1R01NS111590-01	NA	484238	NA	Include	NINDS	9742037	1	NS	111590	1		NA
2101782	"ASGARI, MARYAM MANDANA"	Massachusetts General Hospital	PQ3 Cutaneous squamous cell carcinoma: Integrating germline and somatic alterations that underlie tumor progression	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA231264-01A1	NA	261874	NA	Include	NCI	9734540	1	CA	231264	1	A1	NA
7790734	"ASLAN, JOSEPH E"	Oregon Health & Science University	Pathway maps of platelet phenotype and function	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL146549-01	NA	385000	NA	Include	NHLBI	9711365	1	HL	146549	1		NA
8233199	"ASSAF, MICHAL "	Hartford Hospital	Neural Architecture of Social Emotional Processing and Regulation in Autism Spectrum Disorder: A Dynamic Connectivity Perspective	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH119069-01	NA	740886	NA	Include	NIMH	9708049	1	MH	119069	1		NA
8959554	"ASSASSI, SHERVIN  "	University Of Texas Hlth Sci Ctr Houston	CFlm25 mediated alternative polyadenylation regulates fibrosis in systemic sclerosis	2019	R01	R01Equiv	NIH	"MILLS, TINGTING WENG"	1R01AR073284-01A1	NA	351696	NA	Include	NIAMS	9740123	1	AR	73284	1	A1	NA
10524940	"AVERY, ROBERT ANDREW"	Children's Hosp Of Philadelphia	Biomarkers of Vision Loss in Children with Optic Pathway Gliomas	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY029687-01	NA	686771	NA	Include	NEI	9638906	1	EY	29687	1		NA
1893241	"BACK, STEPHEN ARTHUR"	Oregon Health & Science University	Oligodendrocyte Progenitors and Mechanisms of Human Vascular White Matter Injury	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS105984-01A1	NA	818098	NA	Include	NINDS	9659833	1	NS	105984	1	A1	NA
1862328	"BAEHRECKE, ERIC H"	Univ Of Massachusetts Med Sch Worcester	Transporters; nutrient sensing and autophagy	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG064892-01	NA	368500	NA	Include	NIA	9837092	1	AG	64892	1		NA
1891536	"BAER, RICHARD J "	Columbia University Health Sciences	Restoring genome stability and tumor suppression in BRCA1 deficient cells	2019	R01	R01Equiv	NIH	"CICCIA, ALBERTO "	1R01CA227450-01A1	NA	523500	NA	Include	NCI	9670515	1	CA	227450	1	A1	NA
9785944	"BAGGETT, TRAVIS P."	Massachusetts General Hospital	Financial incentives for homeless smokers: A community-based RCT	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA235617-01	NA	469600	NA	Include	NCI	9667061	1	CA	235617	1		NA
1914575	"BAIREY MERZ, C. NOEL"	Cedars-Sinai Medical Center	Women's Ischemia Syndrome Evaluation (WISE) - Mechanisms of Coronary Microvascular Dysfunction Leading to Pre-Heart Failure with Preserved Ejection Fraction (HFpEF)	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL146158-01	NA	688131	NA	Include	NHLBI	9686405	1	HL	146158	1		NA
10166490	"BALKO, JUSTIN M "	Vanderbilt University Medical Center	(PQ8) Patient- and tumor-specific biomarkers and mechanisms that predict irAEs resulting from checkpoint inhibition	2019	R01	R01Equiv	NIH	"JOHNSON, DOUGLAS B"	1R01CA227481-01A1	NA	538983	NA	Include	NCI	9735633	1	CA	227481	1	A1	NA
6797235	"BALLABH, PRAVEEN "	Albert Einstein College Of Medicine	Intraventricular hemorrhage affects production of cortical interneurons	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS110760-01	NA	349758	NA	Include	NINDS	9702982	1	NS	110760	1		NA
6710748	"BARBIERI, CHRISTOPHER E "	Weill Medical Coll Of Cornell Univ	Collaborative genomic alterations and transcriptional control in prostate cancer	2019	R01	R01Equiv	NIH	"DEPHOURE, NOAH "	1R01CA233650-01	NA	558408	NA	Include	NCI	9638149	1	CA	233650	1		NA
14884289	"BARBIERI, EVELINE "	Baylor College Of Medicine	Towards Novel Differentiation Therapies for Neuroblastoma.	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA222224-01A1	NA	365995	NA	Include	NCI	9660879	1	CA	222224	1	A1	NA
9807413	"BAROCAS, DANIEL A"	Vanderbilt University Medical Center	10-year Comparative Effectiveness and Harms of Treatments for Prostate Cancer	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA230352-01A1	NA	725269	NA	Include	NCI	9735502	1	CA	230352	1	A1	NA
6801990	"BARON, REBECCA M "	Brigham And Women's Hospital	Therapeutic modulation of zinc for lung injury and mechanobiology	2019	R01	R01Equiv	NIH	"TSCHUMPERLIN, DANIEL J."	1R01HL142093-01A1	NA	765335	NA	Include	NHLBI	9672797	1	HL	142093	1	A1	NA
8064095	"BARRETT, NORA AMANDA"	Brigham And Women's Hospital	Type 2 Immunity Elicited Through an LTE4/GPR99-Dependent Pathway	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI134989-01A1	NA	574392	NA	Include	NIAID	9739486	1	AI	134989	1	A1	NA
10326474	"BARRY, ROBERT L"	Massachusetts General Hospital	Spinal cord functional connectivity as a biomarker of spinal cord dysfunction	2019	R01	R01Equiv	NIH	Not Applicable	1R01EB027779-01A1	NA	660638	NA	Include	NIBIB	9835482	1	EB	27779	1	A1	NA
1880734	"BARTHOLOMEW, BLAINE "	University Of Tx Md Anderson Can Ctr	Regulation of RNA polymerase II pausing and directionality by ATP-dependent chromatin remodelers	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM131639-01	NA	440000	NA	Include	NIGMS	9687326	1	GM	131639	1		NA
1864117	"BAYER, ARNOLD S"	La Biomed Res Inst/ Harbor Ucla Med Ctr	Bicarbonate-Mediated Enhancement of Beta-Lactam-MRSA Killing: Mechanisms and Clinical Translatability	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI146078-01	NA	300838	NA	Include	NIAID	9798794	1	AI	146078	1		NA
1887989	"BAZAN, MD, PHD, NICOLAS G "	Lsu Health Sciences Center	Docosanoids modulate homeostasis and cell survival after ischemic stroke	2019	R01	R01Equiv	NIH	"BELAYEV, LUDMILA S."	1R01NS109221-01A1	NA	338932	NA	Include	NINDS	9815688	1	NS	109221	1	A1	NA
1894509	"BEAN, BRUCE P"	Harvard Medical School	State-dependent interaction of antiepileptic drugs with voltage-dependent sodium channels and differential regulation of excitatory and inhibitory central neurons	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS110860-01	NA	474658	NA	Include	NINDS	9712396	1	NS	110860	1		NA
1898854	"BEAUCHAMP, ROBERT DANIEL "	Vanderbilt University Medical Center	SMAD4 regulation of colon epithelial cell inflammatory responses	2019	R01	R01Equiv	NIH	"MEANS, ANNA L"	1R01CA235016-01A1	NA	449643	NA	Include	NCI	9817936	1	CA	235016	1	A1	NA
9721398	"BEAULIEU, AIMEE MELISSA"	Rbhs-New Jersey Medical School	Birc5 as a regulator of NK cell development and immune function	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL139818-01A1	NA	389575	NA	Include	NHLBI	9661921	1	HL	139818	1	A1	NA
7775991	"BEECHAM, GARY WAYNE "	University Of Miami School Of Medicine	Identifying the Genetic Etiology of Neuropathology for Alzheimer Disease and Related Dementias	2019	R01	R01Equiv	NIH	"MONTINE, THOMAS J"	1R01AG062695-01	NA	785345	NA	Include	NIA	9715311	1	AG	62695	1		NA
9089938	"BELFORT, MANDY BROWN"	Brigham And Women's Hospital	Targeting human milk fortification to improve preterm infant growth and brain development	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD097327-01A1	NA	760794	NA	Include	NICHD	9819021	1	HD	97327	1	A1	NA
8746134	"BELOW, JENNIFER  "	Vanderbilt University Medical Center	Functional genetic analyses of existing data resources to expand AD gene discovery	2019	RF1	R01Equiv	NIH	"BUSH, WILLIAM S.;NAJ, ADAM CHRISTIAN"	1RF1AG061351-01	NA	3002657	NA	Include	NIA	9641360	1	AG	61351	1		NA
10592558	"BELSKY, DANIEL WALKER"	Columbia University Health Sciences	Genomic Analysis of the CALERIE Trial to Generate New Knowledge for Geroscience	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG061378-01	NA	647594	NA	Include	NIA	9639306	1	AG	61378	1		NA
2110437	"BERDEAUX, REBECCA L"	University Of Texas Hlth Sci Ctr Houston	Promotion of satellite cell proliferation by cAMP signaling	2019	R01	R01Equiv	NIH	Not Applicable	1R01AR072368-01A1	NA	414419	NA	Include	NIAMS	9748104	1	AR	72368	1	A1	NA
11164618	"BERGER, MICHAEL F."	Sloan-Kettering Inst Can Research	(PQ3) Integrative biomarkers of cancer progression and therapeutic response from germline and somatic clinical sequencing	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA227534-01A1	NA	726626	NA	Include	NCI	9734415	1	CA	227534	1	A1	NA
8550952	"BERGMANN, CORNELIA "	Cleveland Clinic Lerner Com-Cwru	T cell-dependent regulation of microglia demyelinating functions	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS110700-01	NA	350000	NA	Include	NINDS	9712264	1	NS	110700	1		NA
8340182	"BERGOLD, PETER J "	Suny Downstate Medical Center	Minocycline plus N-acetylcysteine improves brain structure and function after experimental brain injury with clinically useful time windows	2019	R01	R01Equiv	NIH	"SACKTOR, TODD C"	1R01NS108190-01A1	NA	474327	NA	Include	NINDS	9748117	1	NS	108190	1	A1	NA
11692524	"BERGOM, CARMEN "	Medical College Of Wisconsin	Genetic Modifiers of Radiation Therapy-Induced Cardiotoxicity	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL147884-01	NA	418721	NA	Include	NHLBI	9797491	1	HL	147884	1		NA
1891039	"BERMAN, JOAN WEINBERGER "	Albert Einstein College Of Medicine	Mechanisms of opioid- mediated HIV neuropathogenesis	2019	R01	R01Equiv	NIH	"GOLDSTEIN, HARRIS "	1R01DA048609-01	NA	834068	NA	Include	NIDA	9767913	1	DA	48609	1		NA
11329317	"BERNEY, MICHAEL "	"Albert Einstein College Of Medicine, Inc"	Eradicating persistent M. tuberculosis by synthetic lethality of terminal respiratory oxidases	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI139465-01A1	NA	88088	NA	Include	NIAID	9684389	1	AI	139465	1	A1	NA
11228209	"BETTINI, MATTHEW "	Baylor College Of Medicine	MICROBIOTA SPECIFIC T CELL SELECTION	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI136963-01A1	NA	474000	NA	Include	NIAID	9662380	1	AI	136963	1	A1	NA
12540121	"BHUPATHIRAJU, SHILPA NANDANA"	Harvard School Of Public Health	Saliva and Plasma Metabolomic Signatures of Diabetes Progression in a Hispanic Cohort	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK120560-01	NA	647874	NA	Include	NIDDK	9707025	1	DK	120560	1		NA
1962005	"BIAGGIONI, ITALO "	Vanderbilt University Medical Center	Sympathetic Mechanisms in the Cardiovascular and Metabolic Alterations of Obesity	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL149386-01	NA	601971	NA	Include	NHLBI	9840304	1	HL	149386	1		NA
1900426	"BIELENBERG, DIANE RENEE "	Boston Children's Hospital	Molecular Mechanisms Regulating Neuropilin 2 in Lymphangiogenesis	2019	R01	R01Equiv	NIH	"CHEN, HONG "	1R01HL141858-01A1	NA	785197	NA	Include	NHLBI	9670481	1	HL	141858	1	A1	NA
7546855	"BJORNSON, KRISTIE F "	Seattle Children's Hospital	Short-Burst Interval Treadmill Training to Improve Community Walking Activity and Mobility in Cerebral Palsy	2019	R01	R01Equiv	NIH	"MOREAU, NOELLE G"	1R01HD098270-01	NA	604187	NA	Include	NICHD	9708314	1	HD	98270	1		NA
11269023	"BLANC, LIONEL "	Feinstein Institute For Medical Research	Molecular targeting of erythroid progenitor cells in normal and disordered human erythropoiesis	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL144436-01	NA	586664	NA	Include	NHLBI	9629879	1	HL	144436	1		NA
6796478	"BLANER, WILLIAM S "	Columbia University Health Sciences	RBP2 Biology and Pathobiology	2019	R01	R01Equiv	NIH	"GOLCZAK, MARCIN BERNARD"	1R01DK122071-01	NA	510750	NA	Include	NIDDK	9801694	1	DK	122071	1		NA
9834838	"BLEIER, BENJAMIN "	Massachusetts Eye And Ear Infirmary	Direct CNS Delivery System for BDNF AntagoNATs using Heterotopic Mucosal Grafting for the Treatment of Parkinson's Disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS108968-01	NA	489884	NA	Include	NINDS	9626061	1	NS	108968	1		NA
1870462	"BLUSZTAJN, JAN KRZYSZTOF "	Boston University Medical Campus	Age-Associated Lipidomic Changes in Alzheimer's Disease	2019	RF1	R01Equiv	NIH	"STEIN, THOR "	1RF1AG057768-01A1	NA	4126646	NA	Include	NIA	9661590	1	AG	57768	1	A1	NA
1865581	"BOADA, FERNANDO E"	New York University School Of Medicine	Ischemic Brain Damage and Single Quantum Sodium MRI	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS113517-01	NA	572518	NA	Include	NINDS	9840139	1	NS	113517	1		NA
1883890	"BONDY, MELISSA L. "	Baylor College Of Medicine	Characterizing germline and somatic alterations by glioma subtypes and clinical outcome	2019	R01	R01Equiv	NIH	"BERNSTEIN, JONINE L.;HUSE, JASON THOMAS"	1R01CA232754-01A1	NA	1059478	NA	Include	NCI	9765913	1	CA	232754	1	A1	NA
9983950	"BONILHA, LEONARDO F "	Medical University Of South Carolina	Predicting Epilepsy Surgery Outcomes Using Neural Network Architecture	2019	R01	R01Equiv	NIH	"KUZNIECKY, RUBEN I"	1R01NS110347-01A1	NA	696066	NA	Include	NINDS	9840235	1	NS	110347	1	A1	NA
1885401	"BORKAN, STEVEN C."	Boston Medical Center	Nucleophosmin Centered Diagnostics and Treatment of Ischemic Acute Kidney Injury	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK118267-01A1	NA	249200	NA	Include	NIDDK	9819401	1	DK	118267	1	A1	NA
10287549	"BOSE, SONALI  "	Icahn School Of Medicine At Mount Sinai	Influence of prenatal air pollutant and stress exposures on sleep outcomes in urban preschool-aged children	2019	R01	R01Equiv	NIH	"ROSS, KRISTIE R"	1R01HL147328-01	NA	861996	NA	Include	NHLBI	9743517	1	HL	147328	1		NA
6518996	"BOTCHKAREV, VLADIMIR A"	Boston University Medical Campus	DNA hydroxymethylation and Tet-enzymes in the control of the skin development and hair growth	2019	R01	R01Equiv	NIH	Not Applicable	1R01AR075776-01	NA	363000	NA	Include	NIAMS	9799189	1	AR	75776	1		NA
7362403	"BOUDREAUX, EDWIN D "	Univ Of Massachusetts Med Sch Worcester	Deriving a Clinical Decision Rule for Suicide Risk in the Emergency Department Setting	2019	R01	R01Equiv	NIH	"WANG, BO "	1R01MH118220-01	NA	843783	NA	Include	NIMH	9638873	1	MH	118220	1		NA
2100116	"BOURGEOIS, FLORENCE "	Boston Children's Hospital	Coupling Results Data from ClinicalTrials.gov and Bibliographic Databases to Accelerate Evidence Synthesis	2019	R01	R01Equiv	NIH	Not Applicable	1R01LM012976-01	NA	347250	NA	Include	NLM	9641903	1	LM	12976	1		NA
11568853	"BOWERS, KATHERINE  "	Cincinnati Childrens Hosp Med Ctr	11/15/18. Bowers. Resub R01. Linking pre- and post-natal psychosocial determinants; DNA methylation; and early developmental health disparities	2019	R01	R01Equiv	NIH	"FOLGER, ALONZO TED"	1R01MD013006-01A1	NA	689468	NA	Include	NIMHD	9827359	1	MD	13006	1	A1	NA
2071100	"BOYER, EDWARD W "	Brigham And Women's Hospital	MyTPill: A Novel Strategy to Monitor Antiretroviral Adherence among HIV+ Prescription Opioid Users	2019	R01	R01Equiv	NIH	"CARRICO, ADAM WAYNE"	1R01DA047236-01A1	NA	796431	NA	Include	NIDA	9784970	1	DA	47236	1	A1	NA
