"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"44","A-to-I microRNA Editing and Melanoma Metastasis","NCI",9527366,"1R21CA219958-01A1",1,"R21","CA",219958,1,"A1",NA,1886387,"BARELI, MENASHE ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2018,208800,NA,"Include"
"45","Epigenetic modifiers as therapeutic agents to combat retinal degeneration","NEI",9686148,"1R21EY029992-01",1,"R21","EY",29992,1,"",NA,1891298,"BARNSTABLE, COLIN J","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2019,228817,NA,"Include"
"46","Pathological Changes of Alpha-Synuclein Structure in the Brain","NINDS",9667273,"1R21NS104576-01A1",1,"R21","NS",104576,1,"A1",NA,10070572,"BARTELS, TIM ","Not Applicable","Brigham And Women's Hospital",NA,2018,268500,NA,"Include"
"47","Aging at Thermoneutral Temperature","NIA",9017315,"1R21AG051869-01",1,"R21","AG",51869,1,"",NA,1879317,"BARTKE, ANDRZEJ ","Not Applicable","Southern Illinois University Sch Of Med",NA,2016,226848,NA,"Include"
"48","Role of host cell invasion in Mycoplasma genitalium persistent infection","NIAID",9027994,"1R21AI117121-01A1",1,"R21","AI",117121,1,"A1",NA,1888799,"BASEMAN, JOEL BARRY","Not Applicable","University Of Texas Hlth Science Center",NA,2016,228750,NA,"Include"
"49","Methods for Extracting and Analyzing Highly Complex Regions of the Genome - Applications to the IGH locus","NIAID",9182371,"1R21AI117407-01A1",1,"R21","AI",117407,1,"A1",NA,11287498,"BASHIR, ALI M","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,210659,NA,"Include"
"50","Preemie Prep for Parents (P3) Mobile app: Home Antenatal Prematurity Education","NICHD",9686087,"1R21HD092664-01A1",1,"R21","HD",92664,1,"A1",NA,11271816,"BASIR, MIR A ","FLYNN, KATHRYN E","Medical College Of Wisconsin",NA,2019,189000,NA,"Include"
"51","Domestic Violence Attitudes and Culturally Appropriate Prevention in Pakistan","FIC",9231751,"1R21TW010443-01",1,"R21","TW",10443,1,"",NA,9110626,"BATES, LISA MICHELLE","Not Applicable","Columbia University Health Sciences",NA,2016,212549,NA,"Include"
"52","Chemogenetic modulation of the primate basal forebrain","NINDS",9264179,"1R21NS096936-01A1",1,"R21","NS",96936,1,"A1",NA,3120835,"BAXTER, MARK G ","CROXSON, PAULA LOUISE","Icahn School Of Medicine At Mount Sinai",NA,2017,254250,NA,"Include"
"53","Variable adaptive responses to weight loss in older adults (VARIA)","NIA",9823053,"1R21AG061344-01A1",1,"R21","AG",61344,1,"A1",NA,10503660,"BEAVERS, DANIEL P ","BEAVERS, KRISTEN MARIE","Wake Forest University Health Sciences",NA,2019,282777,NA,"Include"
"54","Development of Serial PET-Based Spatiotemporal Models of Tau Accumulation in AD as a Feasible and More Accurate Alternative to SUVR","NIA",9746011,"1R21AG060293-01A1",1,"R21","AG",60293,1,"A1",NA,10938246,"BECKER, JOHN ALEX","Not Applicable","Massachusetts General Hospital",NA,2019,210000,NA,"Include"
"55","Selective inhibition of Notch1 and ERBB3 by novel neutralizing antibodies to treat melanoma","NCI",9372186,"1R21CA218504-01",1,"R21","CA",218504,1,"",NA,8630940,"BEDOGNI, BARBARA ","Not Applicable","University Of Miami School Of Medicine",NA,2017,201459,NA,"Include"
"56","Driving Skills of Adolescents with Obstructive Sleep Apnea (OSA)","NICHD",9745767,"1R21HD096014-01A1",1,"R21","HD",96014,1,"A1",NA,7626913,"BEEBE, DEAN W.","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,210416,NA,"Include"
"57","In vivo production of a potassium channel inhibitor for immunomodulation","NIAID",9663584,"1R21AI136876-01A1",1,"R21","AI",136876,1,"A1",NA,9394043,"BEETON, CHRISTINE ","Not Applicable","Baylor College Of Medicine",NA,2019,237750,NA,"Include"
"58","Molecular and Genetic Pathways Controling Enamel Formation","NIDCR",9586661,"1R21DE028091-01",1,"R21","DE",28091,1,"",NA,6061787,"BEI, MARIANNA ","Not Applicable","Massachusetts General Hospital",NA,2018,256500,NA,"Include"
"59","Measuring lung stress to identify occult ventilation-induced lung injury in ARDS","NHLBI",9655629,"1R21HL145506-01",1,"R21","HL",145506,1,"",NA,11491027,"BEITLER, JEREMY R.","Not Applicable","Columbia University Health Sciences",NA,2019,121500,NA,"Include"
"60","The Big Eye-dea: 3D/4D single cell resolution imaging of the mouse eye using lightsheet microscopy","NEI",9166136,"1R21EY027067-01",1,"R21","EY",27067,1,"",NA,11550300,"BENTLEY, KATIE ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2016,283772,NA,"Include"
"61","Pulmonary Vasodilator Therapy During Resuscitation from Cardiac Arrest","NICHD",9316078,"1R21HD089132-01A1",1,"R21","HD",89132,1,"A1",NA,7038600,"BERG, ROBERT ALLEN","Not Applicable","Children's Hosp Of Philadelphia",NA,2017,252000,NA,"Include"
"62","Novel cellular approach to study acute neuronal hyperexcitability in a traumatic brain injury model","NINDS",9182414,"1R21NS095158-01A1",1,"R21","NS",95158,1,"A1",NA,1868698,"BERLIN, JOSHUA R ","PFISTER, BRYAN J.","Rbhs-New Jersey Medical School",NA,2016,240500,NA,"Include"
"63","Phase-Amplitude Coupling and Dysfunction in ASD","NIMH",9317752,"1R21MH110869-01A1",1,"R21","MH",110869,1,"A1",NA,8305294,"BERMAN, JEFFREY I","Not Applicable","Children's Hosp Of Philadelphia",NA,2017,258000,NA,"Include"
"64","Population analysis of group A streptococcal phenotypes","NIAID",9035797,"1R21AI117088-01A1",1,"R21","AI",117088,1,"A1",NA,1899062,"BESSEN, DEBRA E","Not Applicable","New York Medical College",NA,2016,256939,NA,"Include"
"65","Comprehensive Single Molecule Enhanced Detection of Modified Cytosines in Mammalian Genomes","NHGRI",9316069,"1R21HG009187-01A1",1,"R21","HG",9187,1,"A1",NA,1878209,"BESTOR, TIMOTHY H","Not Applicable","Columbia University Health Sciences",NA,2017,320000,NA,"Include"
"66","Shear Wave Elastography To Predict Repair Tissue Healing and Shoulder Function After Rotator Cuff Repair","NIAMS",9599014,"1R21AR072785-01A1",1,"R21","AR",72785,1,"A1",NA,6525843,"BEY, MICHAEL J","Not Applicable","Henry Ford Health System",NA,2018,198660,NA,"Include"
"67","Developing a NF-?B/GADD45b targeting strategy for glioblastoma","NCI",9724157,"1R21CA222992-01A1",1,"R21","CA",222992,1,"A1",NA,11765585,"BHAT, KRISHNA PL","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2019,224297,NA,"Include"
"68","Targeting Neurovascular Dysfunction in AD","NIA",9056264,"1R21AG052321-01",1,"R21","AG",52321,1,"",NA,1886337,"BHAT, NARAYAN R","Not Applicable","Medical University Of South Carolina",NA,2016,224250,NA,"Include"
"69","In vivo mapping of human brainstem vestibular and autonomic pathways","NIDCD",9386205,"1R21DC015888-01A1",1,"R21","DC",15888,1,"A1",NA,11385476,"BIANCIARDI, MARTA ","Not Applicable","Massachusetts General Hospital",NA,2017,256500,NA,"Include"
"70","Investigating fear of recurrence as a modifiable mechanism of behavior change to improve medication adherence in acute coronary syndrome patients","NHLBI",9607756,"1R21HL145970-01",1,"R21","HL",145970,1,"",NA,10881915,"BIRK, JEFFREY LEE","Not Applicable","Columbia University Health Sciences",NA,2018,243000,NA,"Include"
"71","Single-molecule imaging of GPCR-arrestin complexes","NINDS",9374459,"1R21NS102694-01",1,"R21","NS",102694,1,"",NA,8694212,"BLANCHARD, SCOTT C","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2017,350750,NA,"Include"
"72","A new kinase inhibitor for glioblastoma","NCI",9827029,"1R21CA243036-01",1,"R21","CA",243036,1,"",NA,8937007,"BLIND, RAYMOND DANIEL","Not Applicable","Vanderbilt University Medical Center",NA,2019,221850,NA,"Include"
"73","Using GenTAC Resources in BioLINCC to discover BAV-specific Aortic Phenotypes","NHLBI",9874332,"1R21HL150373-01",1,"R21","HL",150373,1,"",NA,6802442,"BODY, SIMON C","Not Applicable","Beth Israel Deaconess Medical Center",NA,2019,131250,NA,"Include"
"74","Racial Disparities; Influenza Like Illness and the Association between Short-term Exposure to Ambient Air Pollution and Cardiovascular Outcomes","NIMHD",9471050,"1R21MD012451-01",1,"R21","MD",12451,1,"",NA,11090304,"BOEHME, AMELIA K","Not Applicable","Columbia University Health Sciences",NA,2017,240000,NA,"Include"
"75","Effects of cannabidiol in alcohol use disorder-Resubmission-1","NIAAA",9456042,"1R21AA025748-01A1",1,"R21","AA",25748,1,"A1",NA,6194997,"BOGENSCHUTZ, MICHAEL PARKS","Not Applicable","New York University School Of Medicine",NA,2017,243656,NA,"Include"
"76","Contribution of Cytomegalovirus to Crohn's disease complications and recurrences","NIDDK",9670976,"1R21DK119989-01",1,"R21","DK",119989,1,"",NA,8028087,"BOGER, RAVIT ","Not Applicable","Medical College Of Wisconsin",NA,2018,242641,NA,"Include"
"77","PARK14/Calcium signaling as a novel biomarker for Parkinson disease","NINDS",9379694,"1R21NS103142-01",1,"R21","NS",103142,1,"",NA,1882780,"BOLOTINA, VICTORIA M","Not Applicable","Boston Medical Center",NA,2017,253270,NA,"Include"
"78","PACAP-mediated modulation of amygdalar-BNST interactions: implications for control of anxiety states","NIMH",9110671,"1R21MH108022-01A1",1,"R21","MH",108022,1,"A1",NA,6616204,"BOLSHAKOV, VADIM ","Not Applicable","Mclean Hospital",NA,2016,243000,NA,"Include"
"79","Radioprotectants for structural biology","NIGMS",9599934,"1R21GM126406-01A1",1,"R21","GM",126406,1,"A1",NA,10361437,"BOREK, DOMINIKA MARTA","Not Applicable","Ut Southwestern Medical Center",NA,2018,243000,NA,"Include"
"80","Targeted proteomics to aid in the management of patients with stage IA lung adeno","NCI",9439581,"1R21CA223335-01",1,"R21","CA",223335,1,"",NA,7900463,"BORGIA, JEFFREY A","Not Applicable","Rush University Medical Center",NA,2018,170738,NA,"Include"
"81","The microbiome as a risk factor for periprosthetic joint infection","NIAMS",9296592,"1R21AR071534-01",1,"R21","AR",71534,1,"",NA,6192501,"BOSTROM, MATHIAS P. ","HERNANDEZ, CHRISTOPHER JOHN","Hospital For Special Surgery",NA,2017,241239,NA,"Include"
"82","Targeted Phase-change Nanodroplets for Translatable Molecular Ultrasound Imaging of Micrometastases","NCI",9650264,"1R21CA234526-01",1,"R21","CA",234526,1,"",NA,10806030,"BOUCHARD, RICHARD R","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2019,171720,NA,"Include"
"83","Use of precision deuteration to determine the contribution of norbuprenorphine to buprenorphine-associated neonatal abstinence syndrome","NIDA",9841002,"1R21DA049585-01",1,"R21","DA",49585,1,"",NA,11598165,"BRENTS, LISA KAYE","Not Applicable","Univ Of Arkansas For Med Scis",NA,2019,226625,NA,"Include"
"84","Fetal gene therapy for congenital deafness and imbalance","NIDCD",9807781,"1R21DC018126-01",1,"R21","DC",18126,1,"",NA,1970856,"BRIGANDE, JOHN VINCENT ","HENNEBOLD, JON D","Oregon Health & Science University",NA,2019,208081,NA,"Include"
"85","Hepatocyte Exosomes for Therapy of Ethanol-Induced Liver Injury","NIAAA",9370178,"1R21AA025974-01",1,"R21","AA",25974,1,"",NA,1880770,"BRIGSTOCK, DAVID R","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2017,216344,NA,"Include"
"86","Role of epigenetic regulation in the persistence of NTHI during colonization; ascension of the Eustachian tube and chronic otitis media","NIDCD",9443341,"1R21DC016709-01",1,"R21","DC",16709,1,"",NA,12554432,"BROCKMAN, KENNETH L","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2017,151498,NA,"Include"
"87","Mobile Intervention to Reduce Pain and Improve Health (MORPH) in Obese Older Adults","NIA",9433229,"1R21AG058249-01",1,"R21","AG",58249,1,"",NA,14189018,"BROOKS, AMBER K ","FANNING, JASON ","Wake Forest University Health Sciences",NA,2018,204958,NA,"Include"
"88","T cell-mediated Gene Replacement Therapy","NICHD",9469116,"1R21HD091461-01A1",1,"R21","HD",91461,1,"A1",NA,9353594,"BROWN, BRIAN D","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2018,251737,NA,"Include"
"89","Casein kinase 2 signaling in axonal injury","NINDS",9243589,"1R21NS094881-01A1",1,"R21","NS",94881,1,"A1",NA,10395539,"BRUNET, SYLVAIN  ","BALTAN, SELVA ","Cleveland Clinic Lerner Com-Cwru",NA,2016,237750,NA,"Include"
"90","Discovery of antibodies against the blood stage of the malaria parasite","NIAID",9455305,"1R21AI128466-01A1",1,"R21","AI",128466,1,"A1",NA,12419529,"BUNNIK, EVELIEN MARGARETHA","Not Applicable","University Of Texas Hlth Science Center",NA,2018,209220,NA,"Include"
"91","Consequences of cochlear synaptopathy on signal detection in noisy environments: perception and central auditory processing","NIDCD",9515294,"1R21DC016969-01",1,"R21","DC",16969,1,"",NA,9649117,"BURAN, BRAD N","Not Applicable","Oregon Health & Science University",NA,2018,154000,NA,"Include"
"92","'Combining radiation with TLR5 agonist based immunotherapy against liver metastases'","NCI",9806462,"1R21CA226463-01A1",1,"R21","CA",226463,1,"A1",NA,9498943,"BURDELYA, LYUDMILA ","Not Applicable","Roswell Park Cancer Institute Corp",NA,2019,227984,NA,"Include"
"93","Early and Adequate Protein Feeding Post-Traumatic Injury","NIDDK",9182219,"1R21DK108145-01A1",1,"R21","DK",108145,1,"A1",NA,1868365,"BURKE, PETER A","Not Applicable","Boston Medical Center",NA,2016,261000,NA,"Include"
"94","FcRIIA; Platelet Activity; and Vasculopathy in Systemic Lupus Erythematosus","NIAMS",9234729,"1R21AR071103-01",1,"R21","AR",71103,1,"",NA,1877754,"BUYON, JILL P ","BERGER, JEFFREY S","New York University School Of Medicine",NA,2017,223740,NA,"Include"
"95","Semi-supervised Algorithms for Risk Assessment with Noisy EHR Data","NCI",9827744,"1R21CA242940-01",1,"R21","CA",242940,1,"",NA,7839384,"CAI, TIANXI ","Not Applicable","Harvard School Of Public Health",NA,2019,192385,NA,"Include"
"96","Essential role of Hk1/Rrp1 TCS for survival of Borrelia burgdorferi in ticks","NIAID",9167902,"1R21AI126146-01",1,"R21","AI",126146,1,"",NA,1946704,"CAIMANO, MELISSA J","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2016,239250,NA,"Include"
"97","Examining SSRI-Induced Disruption of Pubertal Growth Spurt","NICHD",9678782,"1R21HD097776-01",1,"R21","HD",97776,1,"",NA,8642559,"CALARGE, CHADI A.","Not Applicable","Baylor College Of Medicine",NA,2019,203705,NA,"Include"
"98","Exploring MicroRNAs as Predictors of Cervical Intraepithelial Neoplasia Outcomes","NCI",9111438,"1R21CA188781-01A1",1,"R21","CA",188781,1,"A1",NA,8838678,"CAMERON, JENNIFER ERIN","Not Applicable","Lsu Health Sciences Center",NA,2016,190530,NA,"Include"
"99","Dental and Craniofacial Effects of Intrauterine Zika Virus Infection","NIDCR",9381858,"1R21DE027235-01",1,"R21","DE",27235,1,"",NA,8952507,"CAMPOS, MARIBEL ","Not Applicable","University Of Puerto Rico Med Sciences",NA,2017,251882,NA,"Include"
"100","Antimicrobial; anti-inflammatory; analgesic; silver-based; electrospun bandages for superior wound healing","NIAID",9651155,"1R21AI142327-01",1,"R21","AI",142327,1,"",NA,1949861,"CANNON, CAROLYN LOUISE","Not Applicable","Texas A&M University Health Science Ctr",NA,2019,185625,NA,"Include"
