"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"25","Optimal Decision Making in Aortic Valve Replacement","NHLBI",8635238,"1K23HL116799-01A1",1,"K23","HL",116799,1,"A1",NA,11077210,"ARNOLD, SUZANNE VICTORIA","Not Applicable","Saint Luke's Hospital",NA,2014,122946,NA,"Include"
"26","Controlled Delivery and Release of Chemotherapy in Brain Tumors with FUS","NIBIB",8635744,"1K99EB016971-01A1",1,"K99","EB",16971,1,"A1",NA,11339153,"ARVANITIS, KONSTANTINOS-COSTAS ","Not Applicable","Brigham And Women's Hospital",NA,2014,83827,NA,"Include"
"27","Molecular Imaging of Inflammation in Amyotrophic Lateral Sclerosis (ALS)","NINDS",8766942,"1K23NS083715-01A1",1,"K23","NS",83715,1,"A1",NA,9860777,"ATASSI, NAZEM ","Not Applicable","Massachusetts General Hospital",NA,2014,193536,NA,"Include"
"28","VPAC2 receptor function and its link to schizophrenia.","NIMH",8869868,"1K01MH106833-01",1,"K01","MH",106833,1,"",NA,11259519,"ATKIN, TALIA ALLISON","Not Applicable","Columbia University Health Sciences",NA,2015,167724,NA,"Include"
"29","IBDPROMISE: A Web-based Patient-centric Model to Improve Quality and Outcomes","NIDDK",8635100,"1K23DK097451-01A1",1,"K23","DK",97451,1,"A1",NA,9309405,"ATREJA, ASHISH ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2013,177000,NA,"Include"
"30","Examination of Reward Processing in the Treatment of Adolescent Major Depression","NIMH",8509096,"1K23MH097786-01A1",1,"K23","MH",97786,1,"A1",NA,10630912,"AUERBACH, RANDY PATRICK","Not Applicable","Mclean Hospital",NA,2013,171562,NA,"Include"
"31","Mentoring Research in the Physiology of Sleep Disordered Breathing","NHLBI",8581978,"1K24HL109156-01A1",1,"K24","HL",109156,1,"A1",NA,6380783,"AYAPPA, INDU A","Not Applicable","New York University School Of Medicine",NA,2013,93311,NA,"Include"
"32","Control of Skilled Forelimb Movements by Cerebellar Feedback Circuits","NINDS",8749318,"1K99NS088193-01",1,"K99","NS",88193,1,"",NA,8229649,"AZIM, EIMAN ","Not Applicable","Columbia University Health Sciences",NA,2014,90000,NA,"Include"
"33","Integrating Neurobiology and Neuroimaging into Research on Addiction and PTSD","NIDA",8868563,"1K02DA039229-01",1,"K02","DA",39229,1,"",NA,6577745,"BACK, SUDIE E.","Not Applicable","Medical University Of South Carolina",NA,2015,155636,NA,"Include"
"34","Identifying vulnerabilities and therapeutic targets in Glioma Stem Cells","NCI",8948656,"1K22CA197053-01",1,"K22","CA",197053,1,"",NA,10519111,"BADR, CHRISTIAN ELIAS","Not Applicable","Massachusetts General Hospital",NA,2015,200880,NA,"Include"
"35","Meaningful Use and Treatment of Smoking in Federally-Qualified Health Centers","NIDA",8821462,"1K23DA037453-01A1",1,"K23","DA",37453,1,"A1",NA,8860101,"BAILEY, STEFFANI R","Not Applicable","Oregon Health & Science University",NA,2015,171340,NA,"Include"
"36","Immediate and Delayed Effects of Morphine on Brain Circuits: Animal and Human Cor","NIDA",8566922,"1K08DA035972-01",1,"K08","DA",35972,1,"",NA,9760332,"BAJIC, DUSICA ","Not Applicable","Boston Children's Hospital",NA,2013,183276,NA,"Include"
"37","Frontoparietal Network Integrity and Risk for Psychosis","NIMH",8755695,"1K23MH104515-01",1,"K23","MH",104515,1,"",NA,6414577,"BAKER, JUSTIN T","Not Applicable","Mclean Hospital",NA,2014,182304,NA,"Include"
"38","Identification of enhancers of energy expenditure via SLN/SERCA interaction","NIDDK",8967738,"1K01DK102772-01A1",1,"K01","DK",102772,1,"A1",NA,10414388,"BAL, NARESH CHANDRA","Not Applicable","Sanford Burnham Prebys Medical Discovery Institute",NA,2015,122568,NA,"Include"
"39","RNA Expression Profiling in Pediatric Patients with Suspected Sepsis","NICHD",8967019,"1K23HD082368-01A1",1,"K23","HD",82368,1,"A1",NA,12036466,"BALAMUTH, FRANCES ","Not Applicable","Children's Hosp Of Philadelphia",NA,2015,126306,NA,"Include"
"40","Biologic Roles of Novel Axonal Guidance Genes in Isolated GnRH Deficiency","NICHD",8700856,"1K23HD077043-01A1",1,"K23","HD",77043,1,"A1",NA,10071430,"BALASUBRAMANIAN, RAVIKUMAR ","Not Applicable","Massachusetts General Hospital",NA,2014,137040,NA,"Include"
"41","Development of Vectored ImmunoProphylaxis as a strategy against HIV","NIAID",8411105,"1K22AI102769-01",1,"K22","AI",102769,1,"",NA,10210359,"BALAZS, ALEJANDRO BENJAMIN","Not Applicable","Massachusetts General Hospital",NA,2014,156632,NA,"Include"
"42","Frailty; Palliative Care Needs; and Outcomes in Older Survivors of Critical Illne","NIA",8767509,"1K23AG045560-01A1",1,"K23","AG",45560,1,"A1",NA,10717525,"BALDWIN, MATTHEW R","Not Applicable","Columbia University Health Sciences",NA,2014,132300,NA,"Include"
"43","NMDA receptor hypofunction contributes to the dendritic dysplasia in schizophreni","NIMH",8581069,"1K99MH099252-01A1",1,"K99","MH",99252,1,"A1",NA,10125809,"BALU, DARRICK T","Not Applicable","Mclean Hospital",NA,2013,115091,NA,"Include"
"44","Clinical and Molecular Studies of the Erythropoietic Protoporphyria Phenotype","NIDDK",8509354,"1K23DK095946-01A1",1,"K23","DK",95946,1,"A1",NA,9341531,"BALWANI, MANISHA ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2013,178416,NA,"Include"
"45","Compartment-Specific Signaling Of Striatal Opioid Peptides in Reward-Guided Behav","NIDA",8423569,"1K99DA034648-01",1,"K99","DA",34648,1,"",NA,9176382,"BANGHART, MATTHEW RYAN","Not Applicable","Harvard Medical School",NA,2013,121505,NA,"Include"
"46","Advanced neuroimaging in pediatric spinal cord injury","NICHD",8821352,"1K25HD079505-01A1",1,"K25","HD",79505,1,"A1",NA,11620325,"BARAKAT, NADIA ","Not Applicable","Boston Children's Hospital",NA,2015,131693,NA,"Include"
"47","Genomic instability and DNA repair in a distinct molecular class of prostate canc","NCI",8751813,"1K08CA187417-01",1,"K08","CA",187417,1,"",NA,6710748,"BARBIERI, CHRISTOPHER E","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2014,172908,NA,"Include"
"48","Comparative Efficacy of HIV-Prevention among Youth with Mental Health Needs","NIMH",8727174,"1K23MH102131-01A1",1,"K23","MH",102131,1,"A1",NA,10324802,"BARKER, DAVID HEATON","Not Applicable","Rhode Island Hospital",NA,2014,169209,NA,"Include"
"49","Treatment-related CNS Injury in Children with Brain Tumors","NINR",8822126,"1K23NR014902-01A1",1,"K23","NR",14902,1,"A1",NA,11222472,"BARON NELSON, MARY ","Not Applicable","Children's Hospital Of Los Angeles",NA,2014,132562,NA,"Include"
"50","Treatment of transplanted and established multiple myeloma using oncolytic myxoma","NIAID",8300521,"1K22AI095372-01A1",1,"K22","AI",95372,1,"A1",NA,10501140,"BARTEE, ERIC CARTER","Not Applicable","Medical University Of South Carolina",NA,2013,153856,NA,"Include"
"51","Goal concordance in rheumatoid arthritis in diverse populations","NIAMS",8821824,"1K23AR064372-01A1",1,"K23","AR",64372,1,"A1",NA,9036092,"BARTON, JENNIFER L","Not Applicable","Oregon Health & Science University",NA,2015,135000,NA,"Include"
"52","Comparative safety & effectiveness of antihypertensive medications in pregnancy","NICHD",8487519,"1K08HD075831-01",1,"K08","HD",75831,1,"",NA,10847631,"BATEMAN, BRIAN THOMAS","Not Applicable","Brigham And Women's Hospital",NA,2013,137160,NA,"Include"
"53","Inpatient Asthma Care for Children: Adding a Place-Based; Community-Focused Appro","NIAID",8755172,"1K23AI112916-01",1,"K23","AI",112916,1,"",NA,10729723,"BECK, ANDREW FINKEL","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2014,131490,NA,"Include"
"54","INFORMATICS METHODS AND MODELS FOR COMPUTATIONAL PATHOLOGY","NLM",8674406,"1K22LM011931-01",1,"K22","LM",11931,1,"",NA,10820060,"BECK, ANDREW H","Not Applicable","Beth Israel Deaconess Medical Center",NA,2014,170586,NA,"Include"
"55","MOLECULAR MECHANISMS BY WHICH IRF-8 REGULATES MYELOPOIESIS","NIDDK",8700105,"1K01DK099395-01A1",1,"K01","DK",99395,1,"A1",NA,10530139,"BECKER, AMY M","Not Applicable","Boston Children's Hospital",NA,2014,152631,NA,"Include"
"56","A Multi-Method Investigation to Distinguish Sluggish Cognitive Tempo from ADHD","NIMH",9006970,"1K23MH108603-01",1,"K23","MH",108603,1,"",NA,10779221,"BECKER, STEPHEN P","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2015,135000,NA,"Include"
"57","Role of urothelium in epithelial integrity and innate defense of the kidney","NIDDK",8891594,"1K08DK102594-01A1",1,"K08","DK",102594,1,"A1",NA,11968927,"BECKNELL, BRIAN ","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2015,142749,NA,"Include"
"58","Linking oncogenic signaling to tumor metabolism","NCI",8868257,"1K99CA194192-01",1,"K99","CA",194192,1,"",NA,12270014,"BEN-SAHRA, ISSAM ","Not Applicable","Harvard School Of Public Health",NA,2015,97252,NA,"Include"
"59","Genome instability and epigenetic deregulation in retinoblastoma and osteosarcoma","NCI",8568283,"1K99CA178207-01",1,"K99","CA",178207,1,"",NA,10405896,"BENAVENTE, CLAUDIA ANDREA","Not Applicable","St. Jude Children's Research Hospital",NA,2013,102574,NA,"Include"
"60","White Matter Tract Integrity biomarkers of neurodegeneration in aging and MCI","NIA",8821945,"1K23AG044434-01A1",1,"K23","AG",44434,1,"A1",NA,11178492,"BENITEZ, ANDREANA ","Not Applicable","Medical University Of South Carolina",NA,2015,162864,NA,"Include"
"61","The role of carbamylation in uremia associated heart disease","NHLBI",8767329,"1K08HL121801-01A1",1,"K08","HL",121801,1,"A1",NA,9483640,"BERG, ANDERS HAYDEN","Not Applicable","Beth Israel Deaconess Medical Center",NA,2014,129870,NA,"Include"
"62","Investigating the role of the small GTPase RIT1 in lung adenocarcinoma","NCI",8950690,"1K99CA197762-01",1,"K99","CA",197762,1,"",NA,11639678,"BERGER, ALICE ","Not Applicable","Dana-Farber Cancer Inst",NA,2015,133108,NA,"Include"
"63","Regulation of hepatic substrate flux by leptin via POMC neurons and hepatocytes","NIDDK",8487917,"1K01DK098317-01",1,"K01","DK",98317,1,"",NA,8709943,"BERGLUND, ERIC ","Not Applicable","Ut Southwestern Medical Center",NA,2013,101844,NA,"Include"
"64","Parameters T-Cell Receptor avidity during thymic selection in autoimmune diabetes","NIAID",8635533,"1K22AI104761-01A1",1,"K22","AI",104761,1,"A1",NA,11228209,"BETTINI, MATTHEW ","Not Applicable","Baylor College Of Medicine",NA,2014,162000,NA,"Include"
"65","JAK2_STAT3 as a therapeutic target and marker of graft-versus-host disease","NHLBI",8580842,"1K08HL116547-01A1",1,"K08","HL",116547,1,"A1",NA,11263680,"BETTS, BRIAN C.","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2013,125820,NA,"Include"
"66","Sequence-based pathogen discovery in post-stem cell transplantation syndromes","NCI",8679505,"1K08CA184420-01",1,"K08","CA",184420,1,"",NA,10995633,"BHATT, AMI SIDDHARTH","Not Applicable","Dana-Farber Cancer Inst",NA,2014,3672,NA,"Include"
"67","Bioinformatic and functional analysis of antibiotic-responsive small non-coding RNAs in bacterial pathogens","NIAID",8949087,"1K08AI119157-01",1,"K08","AI",119157,1,"",NA,10917102,"BHATTACHARYYA, ROBY PAUL","Not Applicable","Massachusetts General Hospital",NA,2015,182074,NA,"Include"
"68","Sigma-1 receptor and cardioprotection","NHLBI",8677228,"1K99HL122354-01",1,"K99","HL",122354,1,"",NA,11824028,"BHUIYAN, MD. SHENUARIN ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2014,131490,NA,"Include"
"69","Dynamics of Altered Metabolic States using a Microfluidic Living Cell Platform","NIDDK",8510178,"1K99DK095984-01A1",1,"K99","DK",95984,1,"A1",NA,9369366,"BHUSHAN, ABHINAV ","Not Applicable","Massachusetts General Hospital",NA,2013,89991,NA,"Include"
"70","The role of the protein tyrosine phosphatase PRL3 in leukemia development","NCI",8618454,"1K99CA181500-01",1,"K99","CA",181500,1,"",NA,10310607,"BLACKBURN, JESSICA S.","Not Applicable","Massachusetts General Hospital",NA,2014,172962,NA,"Include"
"71","Development and Testing of an Adherence Intervention for HIV+ Women of Color","NIMH",8730850,"1K23MH102129-01A1",1,"K23","MH",102129,1,"A1",NA,11355432,"BLACKSTOCK, ONI J","Not Applicable","Albert Einstein College Of Medicine",NA,2014,184734,NA,"Include"
"72","Health Information Technology in Heart Failure Care","AHRQ",8805722,"1K08HS023683-01",1,"K08","HS",23683,1,"",NA,9621251,"BLECKER, SAUL B.","Not Applicable","New York University School Of Medicine",NA,2014,158241,NA,"Include"
"73","Distress Tolerance Treatment for Weight Concern in Smoking Cessation Among Women","NIDA",8486646,"1K23DA035288-01",1,"K23","DA",35288,1,"",NA,10997499,"BLOOM, ERIKA LITVIN","Not Applicable","Butler Hospital (Providence, Ri)",NA,2013,173829,NA,"Include"
"74","CD4+ T cell-mediated neurotoxicity with continuous trichloroethylene exposure","NIEHS",8755026,"1K02ES024387-01",1,"K02","ES",24387,1,"",NA,8090581,"BLOSSOM, SARAH J","Not Applicable","Arkansas Children's Hospital Res Inst",NA,2014,118854,NA,"Include"
"75","Impacts of False Alarms in Critically Ill Patients with Heart and Lung Failure","NHLBI",8764482,"1K23HL116427-01A1",1,"K23","HL",116427,1,"A1",NA,10583759,"BONAFIDE, CHRISTOPHER PETER","Not Applicable","Children's Hosp Of Philadelphia",NA,2014,153306,NA,"Include"
"76","The dynamics of transgenerational obesity: simulating systems solutions","NIDDK",9032966,"1K01DK102857-01A1",1,"K01","DK",102857,1,"A1",NA,9135716,"BOONE-HEINONEN, JANNE ","Not Applicable","Oregon Health & Science University",NA,2015,145135,NA,"Include"
"77","Economic; health; and behavioral dimensions of HIV treatment scale-up","NIMH",8847174,"1K01MH105320-01A1",1,"K01","MH",105320,1,"A1",NA,11878203,"BOR, JACOB ","Not Applicable","Boston University Medical Campus",NA,2015,153911,NA,"Include"
"78","Epidemiological and socio-cultural landscape of schizophrenia in rural Ethiopia","NIMH",8629154,"1K01MH100428-01A1",1,"K01","MH",100428,1,"A1",NA,8400118,"BORBA, CHRISTINA PAULA CABRAL","Not Applicable","Massachusetts General Hospital",NA,2014,186167,NA,"Include"
"79","Development of Zr-89 based ImmunoPET agents for Idiopathic Pulmonary Fibrosis","NHLBI",8804773,"1K99HL125728-01",1,"K99","HL",125728,1,"",NA,12090673,"BOROS, ESZTER ","Not Applicable","Massachusetts General Hospital",NA,2015,137080,NA,"Include"
"80","Imaging Pain and Analgesia: Mentoring in Basic and Applied Research","NINDS",8581901,"2K24NS064050-07A1",2,"K24","NS",64050,7,"A1",NA,1900274,"BORSOOK, DAVID ","Not Applicable","Boston Children's Hospital",NA,2013,183061,NA,"Include"
"81","Predicting Diabetes Risk Using Glucose Data","NIDDK",8805654,"1K23DK104065-01",1,"K23","DK",104065,1,"",NA,11664801,"BOWEN, MICHAEL EDWARD","Not Applicable","Ut Southwestern Medical Center",NA,2014,170592,NA,"Include"
"82","Mentoring in advanced mHealth interventions for drug abuse and HAART adherence","NIDA",8789850,"1K24DA037109-01A1",1,"K24","DA",37109,1,"A1",NA,2071100,"BOYER, EDWARD W","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2014,175269,NA,"Include"
"83","Clinical Scientists Training in Addictions at MUSC","NIDA",8443140,"1K12DA031794-01A1",1,"K12","DA",31794,1,"A1",NA,1873970,"BRADY, KATHLEEN T. ","MALCOLM, ROBERT JAMES","Medical University Of South Carolina",NA,2013,484676,NA,"Include"
"84","Family-Clinician Partnerships to Improve Child Safety in the Hospital","AHRQ",8867626,"1K08HS023827-01",1,"K08","HS",23827,1,"",NA,10934694,"BRADY, PATRICK ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2015,145653,NA,"Include"
"85","Longitudinal Imaging Studies in Bipolar Disorder","NIMH",8635732,"1K23MH100623-01A1",1,"K23","MH",100623,1,"A1",NA,10921478,"BRADY, ROSCOE O.","Not Applicable","Beth Israel Deaconess Medical Center",NA,2014,176076,NA,"Include"
"86","Peripheral Sensitization as a Novel Mechanism for Pain in Sickle Cell Disease","NHLBI",8580484,"1K23HL114636-01A1",1,"K23","HL",114636,1,"A1",NA,10996192,"BRANDOW, AMANDA M","Not Applicable","Medical College Of Wisconsin",NA,2013,139275,NA,"Include"
"87","Implementing PTSD Treatment in the Juvenile Justice System","NIMH",8891753,"1K23MH104697-01A1",1,"K23","MH",104697,1,"A1",NA,10603387,"BRANSON, CHRISTOPHER E","Not Applicable","New York University School Of Medicine",NA,2015,161478,NA,"Include"
"88","Self and dietary lipid antigens for invariant natural killer T cells","NIAID",8580641,"1K08AI102945-01A1",1,"K08","AI",102945,1,"A1",NA,10956681,"BRENNAN, PATRICK JOSEPH","Not Applicable","Brigham And Women's Hospital",NA,2013,184020,NA,"Include"
"89","Synovial Biomarkers in Olgoarticular Juvenile Idiopathic Arthritis","NIAMS",8764777,"1K23AR066724-01",1,"K23","AR",66724,1,"",NA,10920350,"BRESCIA, ANNEMARIE C","Not Applicable","Alfred I. Du Pont Hosp For Children",NA,2014,108000,NA,"Include"
"90","Determining Mechanisms of Renal Dysfunction after Left Ventricular Assist Device","NHLBI",8949736,"1K23HL128933-01",1,"K23","HL",128933,1,"",NA,11070880,"BRISCO-BACIK, MEREDITH ANN","Not Applicable","Medical University Of South Carolina",NA,2015,141264,NA,"Include"
"91","Proximal tubule Kim-1 expression modulates acute and chronic kidney injury","NIDDK",8568088,"1K01DK099473-01",1,"K01","DK",99473,1,"",NA,9830468,"BROOKS, CRAIG ROBERT","Not Applicable","Brigham And Women's Hospital",NA,2013,157420,NA,"Include"
"92","Microvascular Perfusion Assessment of Ischemic Diabetic Ulcers Using MRI","NHLBI",8821172,"1K25HL121149-01A1",1,"K25","HL",121149,1,"A1",NA,9333467,"BRUNNER, GERD ","Not Applicable","Baylor College Of Medicine",NA,2015,145315,NA,"Include"
"93","Mitochondrial Markers of Pollution; Stress; and Neurobehavior","NIEHS",8889788,"1K99ES024116-01A1",1,"K99","ES",24116,1,"A1",NA,10118913,"BRUNST, KELLY J","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2015,113823,NA,"Include"
"94","Disordered Energy Metabolism in Argininosuccinate Lyase Deficiency","NIDDK",8947286,"1K08DK106453-01",1,"K08","DK",106453,1,"",NA,6843870,"BURRAGE, LINDSAY C","Not Applicable","Baylor College Of Medicine",NA,2015,149826,NA,"Include"
"95","The Toxic Environment and the Epigenetics of Fetal Growth","NIEHS",8424409,"1K23ES022242-01",1,"K23","ES",22242,1,"",NA,9837141,"BURRIS, HEATHER HERSON","Not Applicable","Beth Israel Deaconess Medical Center",NA,2013,157476,NA,"Include"
"96","IgG and Fc gamma receptor regulation of food allergy and oral tolerance","NIDDK",8949448,"1K01DK106303-01",1,"K01","DK",106303,1,"",NA,10767259,"BURTON, OLIVER TEAL","Not Applicable","Boston Children's Hospital",NA,2015,112854,NA,"Include"
"97","Adapting Electronic Medical Record to Measure Medical Outcomes in ASD Populations","AHRQ",8598199,"1K99HS022404-01",1,"K99","HS",22404,1,"",NA,10661874,"BUSH, RUTH ANN","Not Applicable","Rady Children's Hospital - San Diego",NA,2013,138957,NA,"Include"
"98","Specificity of the Ubiquitin System in Lymphoid Malignancies","NCI",8442679,"1K99CA166181-01A1",1,"K99","CA",166181,1,"A1",NA,10912061,"BUSINO, LUCA ","Not Applicable","New York University School Of Medicine",NA,2013,90000,NA,"Include"
"99","Breast Cancer Cell Dormancy is Orchestrated by Stroma & Tissue Microenvironment","NCI",8566952,"1K99CA178177-01",1,"K99","CA",178177,1,"",NA,10305047,"BUSSARD, KAREN MARIE","Not Applicable","Wake Forest University Health Sciences",NA,2013,97200,NA,"Include"
"100","Role of CD4 T cell inhibitor receptors during Plasmodium blood stage infection","NIAID",8442603,"1K22AI099070-01A1",1,"K22","AI",99070,1,"A1",NA,10251426,"BUTLER, NOAH SULLIVAN","Not Applicable","University Of Oklahoma Hlth Sciences Ctr",NA,2013,162000,NA,"Include"
"101","Genetic and Environmental Risks for Oral Clefts in Puerto Rican Hispanics","NIDCR",8763859,"1K99DE024571-01",1,"K99","DE",24571,1,"",NA,11494812,"BUXO, CARMEN J.","Not Applicable","University Of Puerto Rico Med Sciences",NA,2014,126994,NA,"Include"
"102","Determinants of Multisite Musculoskeletal Pain Among Construction Workers","NIOSH",8566343,"1K01OH010485-01",1,"K01","OH",10485,1,"",NA,9638268,"CABAN-MARTINEZ, ALBERTO JUAN","Not Applicable","Harvard School Of Public Health",NA,2013,97158,NA,"Include"
"103","Pluripotent stem cell-derived HSCs: improvements and molecular mechanisms","NIDDK",8581567,"1K01DK096013-01A1",1,"K01","DK",96013,1,"A1",NA,8504564,"CAHAN, PATRICK ","Not Applicable","Boston Children's Hospital",NA,2013,156276,NA,"Include"
