"","X.1","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","X","Stats"
"11",30,"Mechanisms and targeting of inflammatory cytokine-driven expansion and progression in AML","NCI",9737704,"1R01CA229875-01A1",1,"R01","CA",229875,1,"A1",NA,9886789,"AGARWAL, ANUPRIYA ","Not Applicable","Oregon Health & Science University",NA,2019,349698,NA,NA,"Include"
"12",32,"Novel Molecular Target to Prevent Maturation Failure of Arteriovenous Fistula","NHLBI",9839950,"1R01HL147662-01A1",1,"R01","HL",147662,1,"A1",NA,8153099,"AGRAWAL, DEVENDRA K.","Not Applicable","Western University Of Health Sciences",NA,2019,704979,NA,NA,"Include"
"13",33,"Dynamic Single Cell Imaging of Coronary Microvascular Dysfunction in the Failing Heart","NHLBI",9637037,"1R01HL144515-01",1,"R01","HL",144515,1,"",NA,11453518,"AGUIRRE, AARON D","Not Applicable","Massachusetts General Hospital",NA,2019,411996,NA,NA,"Include"
"14",34,"SHIPSS:  Stress Hydrocortisone In Pediatric Septic Shock","NICHD",9764560,"1R01HD096901-01A1",1,"R01","HD",96901,1,"A1",NA,6278688,"AGUS, MICHAEL SD ","WONG, HECTOR R;WYPIJ, DAVID ;ZIMMERMAN, JERRY JOHN","Boston Children's Hospital",NA,2019,1893540,NA,NA,"Include"
"15",35,"Human Disease Modeling of Glaucomatous Neuropathy","NEI",9643771,"1R01EY029778-01",1,"R01","EY",29778,1,"",NA,1894796,"AHMAD, IQBAL ","Not Applicable","University Of Nebraska Medical Center",NA,2019,381250,NA,NA,"Include"
"16",38,"Recapitulation of sex- disparity in PAH on a microfluidic device and elucidation of  the differences and similarities  in the development; progression and therapy of PAH in male versus female patients","NHLBI",9638832,"1R01HL144590-01",1,"R01","HL",144590,1,"",NA,8576614,"AHSAN, FAKHRUL ","Not Applicable","Texas Tech University Health Scis Center",NA,2019,510112,NA,NA,"Include"
"17",39,"Mapping the intrinsic functional organization of auditory cortex in individual subjects using 7T MRI","NIDCD",9796983,"1R01DC017991-01",1,"R01","DC",17991,1,"",NA,8796954,"AHVENINEN, JYRKI  ","LIU, HESHENG ","Massachusetts General Hospital",NA,2019,704052,NA,NA,"Include"
"18",40,"Heart-platelet crosstalk: JNK; AF; and thrombogenesis","NHLBI",9715472,"1R01HL146744-01",1,"R01","HL",146744,1,"",NA,10832361,"AI, XUN  ","LI, ZHENYU ","Rush University Medical Center",NA,2019,626007,NA,NA,"Include"
"19",41,"Mechanisms of enhancer regulation in leukemia","NCI",9670272,"1R01CA228135-01A1",1,"R01","CA",228135,1,"A1",NA,7647769,"AIFANTIS, IANNIS ","Not Applicable","New York University School Of Medicine",NA,2019,519834,NA,NA,"Include"
"20",42,"New driver of fibrosis and calcification in CAVD","NHLBI",9715390,"1R01HL147095-01",1,"R01","HL",147095,1,"",NA,9490226,"AIKAWA, ELENA ","Not Applicable","Brigham And Women's Hospital",NA,2019,607627,NA,NA,"Include"
"21",43,"Pro-inflammatory activation of human macrophages regulated by lncRNAs","NHLBI",9840015,"1R01HL149302-01",1,"R01","HL",149302,1,"",NA,6406121,"AIKAWA, MASANORI  ","SHARMA, AMITABH ","Brigham And Women's Hospital",NA,2019,767374,NA,NA,"Include"
"22",51,"Defining the impact of intra-tumoral morphologic; immune and mutational heterogeneity in urothelial carcinoma","NCI",9761647,"1R01CA233899-01A1",1,"R01","CA",233899,1,"A1",NA,9460193,"AL-AHMADIE, HIKMAT ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2019,410835,NA,NA,"Include"
"23",52,"Dynamic interaction between HIV in the CNS and peripheral organs","NINDS",9694883,"1R01NS108796-01A1",1,"R01","NS",108796,1,"A1",NA,6664326,"AL-HARTHI, LENA ","Not Applicable","Rush University Medical Center",NA,2019,738745,NA,NA,"Include"
"24",61,"Family Burden and Expenditures in Hospice","NINR",9716080,"1R01NR018462-01",1,"R01","NR",18462,1,"",NA,8648040,"ALDRIDGE, MELISSA DIANE","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2019,396834,NA,NA,"Include"
"25",62,"1/2-Building Infrastructure for Community Capacity in Accelerating Integrated Care","NIMH",9724121,"1R01MH117247-01A1",1,"R01","MH",117247,1,"A1",NA,1888416,"ALEGRIA, MARGARITA ","Not Applicable","Massachusetts General Hospital",NA,2019,955378,NA,NA,"Include"
"26",71,"Stargardt disease with low lipofuscin","NEI",9661296,"1R01EY028954-01A1",1,"R01","EY",28954,1,"A1",NA,6619355,"ALLIKMETS, RANDO L","Not Applicable","Columbia University Health Sciences",NA,2019,533157,NA,NA,"Include"
"27",74,"Metabolomics of Neurocognitive Risk for Dementia in Diabetes","NIA",9660891,"1R01AG058921-01A1",1,"R01","AG",58921,1,"A1",NA,8501321,"ALLRED, NICHOLETTE D","Not Applicable","Wake Forest University Health Sciences",NA,2019,763841,NA,NA,"Include"
"28",79,"Comparative Study of Haitian and Miami Cohorts of Haitian-American and Haitian Immigrant Children with Sickle Cell Disease (CSHSCD)","NHLBI",9824207,"1R01HL149121-01",1,"R01","HL",149121,1,"",NA,8304683,"ALVAREZ, OFELIA AMPARO","Not Applicable","University Of Miami School Of Medicine",NA,2019,664824,NA,NA,"Include"
"29",81,"Venous Waveform Analysis to Predict Volume Overload","NHLBI",9802177,"1R01HL148244-01",1,"R01","HL",148244,1,"",NA,8772287,"ALVIS, BRET D","Not Applicable","Vanderbilt University Medical Center",NA,2019,425000,NA,NA,"Include"
"30",84,"Characterizing the evolution of Subjective Cognitive Decline in preclinical Alzheimer's disease","NIA",9659693,"1R01AG058825-01A1",1,"R01","AG",58825,1,"A1",NA,10864920,"AMARIGLIO, REBECCA E","Not Applicable","Brigham And Women's Hospital",NA,2019,835070,NA,NA,"Include"
"31",89,"Relationships between parity; breastfeeding and ER- breast cancer in African American women: Elucidating the biologic underpinnings at the molecular and cellular level.","NCI",9668422,"1R01CA225947-01A1",1,"R01","CA",225947,1,"A1",NA,6424615,"AMBROSONE, CHRISTINE B. ","HIGGINS, MICHAEL J;PALMER, JULIE R","Roswell Park Cancer Institute Corp",NA,2019,697798,NA,NA,"Include"
"32",100,"Functional characterization of the role of distinct domains of ATM and the impact of sequence variants on the DNA damage response","NIGMS",9796835,"1R01GM134731-01",1,"R01","GM",134731,1,"",NA,1934608,"ANDREASSEN, PAUL R","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,324767,NA,NA,"Include"
"33",101,"Ph1/2 Study of the Imipridone ONC201 for Treatment of AML IND125;203 (12/23/2014)","FDA",9806956,"1R01FD006118-01A1",1,"R01","FD",6118,1,"A1",NA,1878458,"ANDREEFF, MICHAEL  ","ISHIZAWA, JO ","University Of Tx Md Anderson Can Ctr",NA,2019,249999,NA,NA,"Include"
"34",107,"Novel Roles of IgE Glycosylation in Anaphylaxis","NIAID",9739603,"1R01AI139669-01A1",1,"R01","AI",139669,1,"A1",NA,8966918,"ANTHONY, ROBERT MCCULLOUGH","Not Applicable","Massachusetts General Hospital",NA,2019,497200,NA,NA,"Include"
"35",108,"Genetic dissection of lateral septal circuitry that controls stress-induced persistent anxiety states","NIMH",9740366,"1R01MH117421-01A1",1,"R01","MH",117421,1,"A1",NA,2123573,"ANTHONY, TODD ERRYL","Not Applicable","Boston Children's Hospital",NA,2019,587182,NA,NA,"Include"
"36",118,"Oligodendrocyte precursor cells regulate white matter remodeling in vascular cognitive impairment and dementia","NINDS",9839310,"1R01NS113556-01",1,"R01","NS",113556,1,"",NA,9428614,"ARAI, KEN ","Not Applicable","Massachusetts General Hospital",NA,2019,458485,NA,NA,"Include"
"37",123,"School-Based Asthma Therapy (SBAT) to Reduce Disparities in Childhood Asthma: Pragmatic Process and Program Implementation Evaluation","NHLBI",9821986,"1R01HL144652-01A1",1,"R01","HL",144652,1,"A1",NA,9246956,"ARCOLEO, KIMBERLY JOAN","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2019,681510,NA,NA,"Include"
"38",130,"Advancing Palliative Care in Northern Plains American Indians","NCI",9788019,"1R01CA240080-01",1,"R01","CA",240080,1,"",NA,2087173,"ARMSTRONG, KATRINA  ","PETEREIT, DANIEL G","Massachusetts General Hospital",NA,2019,658217,NA,NA,"Include"
"39",131,"Platelet alphaIIbbeta3 activation and its therapeutic targeting","NHLBI",9660781,"1R01HL141366-01A1",1,"R01","HL",141366,1,"A1",NA,2160889,"ARNAOUT, M. AMIN ","Not Applicable","Massachusetts General Hospital",NA,2019,567504,NA,NA,"Include"
"40",135,"A dual-purpose vaccine targeting blood-feeding nematode parasites of sheep and humans","NICHD",9795199,"1R01HD099072-01",1,"R01","HD",99072,1,"",NA,1925691,"AROIAN, RAFFI V","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2019,526951,NA,NA,"Include"
"41",137,"Humanin and Intracerebral Hemorrhage","NINDS",9742037,"1R01NS111590-01",1,"R01","NS",111590,1,"",NA,2282452,"ARONOWSKI, JAROSLAW  ","JUNG, JOO EUN ","University Of Texas Hlth Sci Ctr Houston",NA,2019,484238,NA,NA,"Include"
"42",138,"PQ3 Cutaneous squamous cell carcinoma: Integrating germline and somatic alterations that underlie tumor progression","NCI",9734540,"1R01CA231264-01A1",1,"R01","CA",231264,1,"A1",NA,2101782,"ASGARI, MARYAM MANDANA","Not Applicable","Massachusetts General Hospital",NA,2019,261874,NA,NA,"Include"
"43",141,"Pathway maps of platelet phenotype and function","NHLBI",9711365,"1R01HL146549-01",1,"R01","HL",146549,1,"",NA,7790734,"ASLAN, JOSEPH E","Not Applicable","Oregon Health & Science University",NA,2019,385000,NA,NA,"Include"
"44",142,"Neural Architecture of Social Emotional Processing and Regulation in Autism Spectrum Disorder: A Dynamic Connectivity Perspective","NIMH",9708049,"1R01MH119069-01",1,"R01","MH",119069,1,"",NA,8233199,"ASSAF, MICHAL ","Not Applicable","Hartford Hospital",NA,2019,740886,NA,NA,"Include"
"45",143,"CFlm25 mediated alternative polyadenylation regulates fibrosis in systemic sclerosis","NIAMS",9740123,"1R01AR073284-01A1",1,"R01","AR",73284,1,"A1",NA,8959554,"ASSASSI, SHERVIN  ","MILLS, TINGTING WENG","University Of Texas Hlth Sci Ctr Houston",NA,2019,351696,NA,NA,"Include"
"46",151,"Biomarkers of Vision Loss in Children with Optic Pathway Gliomas","NEI",9638906,"1R01EY029687-01",1,"R01","EY",29687,1,"",NA,10524940,"AVERY, ROBERT ANDREW","Not Applicable","Children's Hosp Of Philadelphia",NA,2019,686771,NA,NA,"Include"
"47",158,"Oligodendrocyte Progenitors and Mechanisms of Human Vascular White Matter Injury","NINDS",9659833,"1R01NS105984-01A1",1,"R01","NS",105984,1,"A1",NA,1893241,"BACK, STEPHEN ARTHUR","Not Applicable","Oregon Health & Science University",NA,2019,818098,NA,NA,"Include"
"48",161,"Transporters; nutrient sensing and autophagy","NIA",9837092,"1R01AG064892-01",1,"R01","AG",64892,1,"",NA,1862328,"BAEHRECKE, ERIC H","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2019,368500,NA,NA,"Include"
"49",162,"Restoring genome stability and tumor suppression in BRCA1 deficient cells","NCI",9670515,"1R01CA227450-01A1",1,"R01","CA",227450,1,"A1",NA,1891536,"BAER, RICHARD J ","CICCIA, ALBERTO ","Columbia University Health Sciences",NA,2019,523500,NA,NA,"Include"
"50",164,"Financial incentives for homeless smokers: A community-based RCT","NCI",9667061,"1R01CA235617-01",1,"R01","CA",235617,1,"",NA,9785944,"BAGGETT, TRAVIS P.","Not Applicable","Massachusetts General Hospital",NA,2019,469600,NA,NA,"Include"
"51",173,"Women's Ischemia Syndrome Evaluation (WISE) - Mechanisms of Coronary Microvascular Dysfunction Leading to Pre-Heart Failure with Preserved Ejection Fraction (HFpEF)","NHLBI",9686405,"1R01HL146158-01",1,"R01","HL",146158,1,"",NA,1914575,"BAIREY MERZ, C. NOEL","Not Applicable","Cedars-Sinai Medical Center",NA,2019,688131,NA,NA,"Include"
"52",183,"(PQ8) Patient- and tumor-specific biomarkers and mechanisms that predict irAEs resulting from checkpoint inhibition","NCI",9735633,"1R01CA227481-01A1",1,"R01","CA",227481,1,"A1",NA,10166490,"BALKO, JUSTIN M ","JOHNSON, DOUGLAS B","Vanderbilt University Medical Center",NA,2019,538983,NA,NA,"Include"
"53",185,"Intraventricular hemorrhage affects production of cortical interneurons","NINDS",9702982,"1R01NS110760-01",1,"R01","NS",110760,1,"",NA,6797235,"BALLABH, PRAVEEN ","Not Applicable","Albert Einstein College Of Medicine",NA,2019,349758,NA,NA,"Include"
"54",195,"Collaborative genomic alterations and transcriptional control in prostate cancer","NCI",9638149,"1R01CA233650-01",1,"R01","CA",233650,1,"",NA,6710748,"BARBIERI, CHRISTOPHER E ","DEPHOURE, NOAH ","Weill Medical Coll Of Cornell Univ",NA,2019,558408,NA,NA,"Include"
"55",196,"Towards Novel Differentiation Therapies for Neuroblastoma.","NCI",9660879,"1R01CA222224-01A1",1,"R01","CA",222224,1,"A1",NA,14884289,"BARBIERI, EVELINE ","Not Applicable","Baylor College Of Medicine",NA,2019,365995,NA,NA,"Include"
"56",204,"10-year Comparative Effectiveness and Harms of Treatments for Prostate Cancer","NCI",9735502,"1R01CA230352-01A1",1,"R01","CA",230352,1,"A1",NA,9807413,"BAROCAS, DANIEL A","Not Applicable","Vanderbilt University Medical Center",NA,2019,725269,NA,NA,"Include"
"57",207,"Therapeutic modulation of zinc for lung injury and mechanobiology","NHLBI",9672797,"1R01HL142093-01A1",1,"R01","HL",142093,1,"A1",NA,6801990,"BARON, REBECCA M ","TSCHUMPERLIN, DANIEL J.","Brigham And Women's Hospital",NA,2019,765335,NA,NA,"Include"
"58",210,"Type 2 Immunity Elicited Through an LTE4/GPR99-Dependent Pathway","NIAID",9739486,"1R01AI134989-01A1",1,"R01","AI",134989,1,"A1",NA,8064095,"BARRETT, NORA AMANDA","Not Applicable","Brigham And Women's Hospital",NA,2019,574392,NA,NA,"Include"
"59",211,"Spinal cord functional connectivity as a biomarker of spinal cord dysfunction","NIBIB",9835482,"1R01EB027779-01A1",1,"R01","EB",27779,1,"A1",NA,10326474,"BARRY, ROBERT L","Not Applicable","Massachusetts General Hospital",NA,2019,660638,NA,NA,"Include"
"60",212,"Regulation of RNA polymerase II pausing and directionality by ATP-dependent chromatin remodelers","NIGMS",9687326,"1R01GM131639-01",1,"R01","GM",131639,1,"",NA,1880734,"BARTHOLOMEW, BLAINE ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2019,440000,NA,NA,"Include"
"61",220,"Bicarbonate-Mediated Enhancement of Beta-Lactam-MRSA Killing: Mechanisms and Clinical Translatability","NIAID",9798794,"1R01AI146078-01",1,"R01","AI",146078,1,"",NA,1864117,"BAYER, ARNOLD S","Not Applicable","La Biomed Res Inst/ Harbor Ucla Med Ctr",NA,2019,300838,NA,NA,"Include"
"62",222,"Docosanoids modulate homeostasis and cell survival after ischemic stroke","NINDS",9815688,"1R01NS109221-01A1",1,"R01","NS",109221,1,"A1",NA,1887989,"BAZAN, MD, PHD, NICOLAS G ","BELAYEV, LUDMILA S.","Lsu Health Sciences Center",NA,2019,338932,NA,NA,"Include"
"63",227,"State-dependent interaction of antiepileptic drugs with voltage-dependent sodium channels and differential regulation of excitatory and inhibitory central neurons","NINDS",9712396,"1R01NS110860-01",1,"R01","NS",110860,1,"",NA,1894509,"BEAN, BRUCE P","Not Applicable","Harvard Medical School",NA,2019,474658,NA,NA,"Include"
"64",230,"SMAD4 regulation of colon epithelial cell inflammatory responses","NCI",9817936,"1R01CA235016-01A1",1,"R01","CA",235016,1,"A1",NA,1898854,"BEAUCHAMP, ROBERT DANIEL ","MEANS, ANNA L","Vanderbilt University Medical Center",NA,2019,449643,NA,NA,"Include"
"65",232,"Birc5 as a regulator of NK cell development and immune function","NHLBI",9661921,"1R01HL139818-01A1",1,"R01","HL",139818,1,"A1",NA,9721398,"BEAULIEU, AIMEE MELISSA","Not Applicable","Rbhs-New Jersey Medical School",NA,2019,389575,NA,NA,"Include"
"66",239,"Identifying the Genetic Etiology of Neuropathology for Alzheimer Disease and Related Dementias","NIA",9715311,"1R01AG062695-01",1,"R01","AG",62695,1,"",NA,7775991,"BEECHAM, GARY WAYNE ","MONTINE, THOMAS J","University Of Miami School Of Medicine",NA,2019,785345,NA,NA,"Include"
"67",243,"Targeting human milk fortification to improve preterm infant growth and brain development","NICHD",9819021,"1R01HD097327-01A1",1,"R01","HD",97327,1,"A1",NA,9089938,"BELFORT, MANDY BROWN","Not Applicable","Brigham And Women's Hospital",NA,2019,760794,NA,NA,"Include"
"68",246,"Functional genetic analyses of existing data resources to expand AD gene discovery","NIA",9641360,"1RF1AG061351-01",1,"RF1","AG",61351,1,"",NA,8746134,"BELOW, JENNIFER  ","BUSH, WILLIAM S.;NAJ, ADAM CHRISTIAN","Vanderbilt University Medical Center",NA,2019,3002657,NA,NA,"Include"
"69",247,"Genomic Analysis of the CALERIE Trial to Generate New Knowledge for Geroscience","NIA",9639306,"1R01AG061378-01",1,"R01","AG",61378,1,"",NA,10592558,"BELSKY, DANIEL WALKER","Not Applicable","Columbia University Health Sciences",NA,2019,647594,NA,NA,"Include"
"70",257,"Promotion of satellite cell proliferation by cAMP signaling","NIAMS",9748104,"1R01AR072368-01A1",1,"R01","AR",72368,1,"A1",NA,2110437,"BERDEAUX, REBECCA L","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2019,414419,NA,NA,"Include"
"71",261,"(PQ3) Integrative biomarkers of cancer progression and therapeutic response from germline and somatic clinical sequencing","NCI",9734415,"1R01CA227534-01A1",1,"R01","CA",227534,1,"A1",NA,11164618,"BERGER, MICHAEL F.","Not Applicable","Sloan-Kettering Inst Can Research",NA,2019,726626,NA,NA,"Include"
"72",264,"T cell-dependent regulation of microglia demyelinating functions","NINDS",9712264,"1R01NS110700-01",1,"R01","NS",110700,1,"",NA,8550952,"BERGMANN, CORNELIA ","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2019,350000,NA,NA,"Include"
"73",265,"Minocycline plus N-acetylcysteine improves brain structure and function after experimental brain injury with clinically useful time windows","NINDS",9748117,"1R01NS108190-01A1",1,"R01","NS",108190,1,"A1",NA,8340182,"BERGOLD, PETER J ","SACKTOR, TODD C","Suny Downstate Medical Center",NA,2019,474327,NA,NA,"Include"
"74",266,"Genetic Modifiers of Radiation Therapy-Induced Cardiotoxicity","NHLBI",9797491,"1R01HL147884-01",1,"R01","HL",147884,1,"",NA,11692524,"BERGOM, CARMEN ","Not Applicable","Medical College Of Wisconsin",NA,2019,418721,NA,NA,"Include"
"75",267,"Mechanisms of opioid- mediated HIV neuropathogenesis","NIDA",9767913,"1R01DA048609-01",1,"R01","DA",48609,1,"",NA,1891039,"BERMAN, JOAN WEINBERGER ","GOLDSTEIN, HARRIS ","Albert Einstein College Of Medicine",NA,2019,834068,NA,NA,"Include"
"76",272,"Eradicating persistent M. tuberculosis by synthetic lethality of terminal respiratory oxidases","NIAID",9684389,"1R01AI139465-01A1",1,"R01","AI",139465,1,"A1",NA,11329317,"BERNEY, MICHAEL ","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2019,88088,NA,NA,"Include"
"77",279,"MICROBIOTA SPECIFIC T CELL SELECTION","NIAID",9662380,"1R01AI136963-01A1",1,"R01","AI",136963,1,"A1",NA,11228209,"BETTINI, MATTHEW ","Not Applicable","Baylor College Of Medicine",NA,2019,474000,NA,NA,"Include"
"78",286,"Saliva and Plasma Metabolomic Signatures of Diabetes Progression in a Hispanic Cohort","NIDDK",9707025,"1R01DK120560-01",1,"R01","DK",120560,1,"",NA,12540121,"BHUPATHIRAJU, SHILPA NANDANA","Not Applicable","Harvard School Of Public Health",NA,2019,647874,NA,NA,"Include"
"79",288,"Sympathetic Mechanisms in the Cardiovascular and Metabolic Alterations of Obesity","NHLBI",9840304,"1R01HL149386-01",1,"R01","HL",149386,1,"",NA,1962005,"BIAGGIONI, ITALO ","Not Applicable","Vanderbilt University Medical Center",NA,2019,601971,NA,NA,"Include"
"80",292,"Molecular Mechanisms Regulating Neuropilin 2 in Lymphangiogenesis","NHLBI",9670481,"1R01HL141858-01A1",1,"R01","HL",141858,1,"A1",NA,1900426,"BIELENBERG, DIANE RENEE ","CHEN, HONG ","Boston Children's Hospital",NA,2019,785197,NA,NA,"Include"
"81",302,"Short-Burst Interval Treadmill Training to Improve Community Walking Activity and Mobility in Cerebral Palsy","NICHD",9708314,"1R01HD098270-01",1,"R01","HD",98270,1,"",NA,7546855,"BJORNSON, KRISTIE F ","MOREAU, NOELLE G","Seattle Children's Hospital",NA,2019,604187,NA,NA,"Include"
"82",304,"Molecular targeting of erythroid progenitor cells in normal and disordered human erythropoiesis","NHLBI",9629879,"1R01HL144436-01",1,"R01","HL",144436,1,"",NA,11269023,"BLANC, LIONEL ","Not Applicable","Feinstein Institute For Medical Research",NA,2019,586664,NA,NA,"Include"
"83",305,"RBP2 Biology and Pathobiology","NIDDK",9801694,"1R01DK122071-01",1,"R01","DK",122071,1,"",NA,6796478,"BLANER, WILLIAM S ","GOLCZAK, MARCIN BERNARD","Columbia University Health Sciences",NA,2019,510750,NA,NA,"Include"
"84",306,"Direct CNS Delivery System for BDNF AntagoNATs using Heterotopic Mucosal Grafting for the Treatment of Parkinson's Disease","NINDS",9626061,"1R01NS108968-01",1,"R01","NS",108968,1,"",NA,9834838,"BLEIER, BENJAMIN ","Not Applicable","Massachusetts Eye And Ear Infirmary",NA,2019,489884,NA,NA,"Include"
"85",315,"Age-Associated Lipidomic Changes in Alzheimer's Disease","NIA",9661590,"1RF1AG057768-01A1",1,"RF1","AG",57768,1,"A1",NA,1870462,"BLUSZTAJN, JAN KRZYSZTOF ","STEIN, THOR ","Boston University Medical Campus",NA,2019,4126646,NA,NA,"Include"
"86",317,"Ischemic Brain Damage and Single Quantum Sodium MRI","NINDS",9840139,"1R01NS113517-01",1,"R01","NS",113517,1,"",NA,1865581,"BOADA, FERNANDO E","Not Applicable","New York University School Of Medicine",NA,2019,572518,NA,NA,"Include"
"87",327,"Characterizing germline and somatic alterations by glioma subtypes and clinical outcome","NCI",9765913,"1R01CA232754-01A1",1,"R01","CA",232754,1,"A1",NA,1883890,"BONDY, MELISSA L. ","BERNSTEIN, JONINE L.;HUSE, JASON THOMAS","Baylor College Of Medicine",NA,2019,1059478,NA,NA,"Include"
"88",328,"Predicting Epilepsy Surgery Outcomes Using Neural Network Architecture","NINDS",9840235,"1R01NS110347-01A1",1,"R01","NS",110347,1,"A1",NA,9983950,"BONILHA, LEONARDO F ","KUZNIECKY, RUBEN I","Medical University Of South Carolina",NA,2019,696066,NA,NA,"Include"
"89",337,"Nucleophosmin Centered Diagnostics and Treatment of Ischemic Acute Kidney Injury","NIDDK",9819401,"1R01DK118267-01A1",1,"R01","DK",118267,1,"A1",NA,1885401,"BORKAN, STEVEN C.","Not Applicable","Boston Medical Center",NA,2019,249200,NA,NA,"Include"
"90",341,"Influence of prenatal air pollutant and stress exposures on sleep outcomes in urban preschool-aged children","NHLBI",9743517,"1R01HL147328-01",1,"R01","HL",147328,1,"",NA,10287549,"BOSE, SONALI  ","ROSS, KRISTIE R","Icahn School Of Medicine At Mount Sinai",NA,2019,861996,NA,NA,"Include"
"91",342,"DNA hydroxymethylation and Tet-enzymes in the control of the skin development and hair growth","NIAMS",9799189,"1R01AR075776-01",1,"R01","AR",75776,1,"",NA,6518996,"BOTCHKAREV, VLADIMIR A","Not Applicable","Boston University Medical Campus",NA,2019,363000,NA,NA,"Include"
"92",347,"Deriving a Clinical Decision Rule for Suicide Risk in the Emergency Department Setting","NIMH",9638873,"1R01MH118220-01",1,"R01","MH",118220,1,"",NA,7362403,"BOUDREAUX, EDWIN D ","WANG, BO ","Univ Of Massachusetts Med Sch Worcester",NA,2019,843783,NA,NA,"Include"
"93",349,"Coupling Results Data from ClinicalTrials.gov and Bibliographic Databases to Accelerate Evidence Synthesis","NLM",9641903,"1R01LM012976-01",1,"R01","LM",12976,1,"",NA,2100116,"BOURGEOIS, FLORENCE ","Not Applicable","Boston Children's Hospital",NA,2019,347250,NA,NA,"Include"
